wikidata_id,name,candidate_affiliation,possible_place_role_count,mapped_place_role_count,checked_place_role_count,place_score_share,supporting_place_roles,supporting_places,support_token_ids,birth_place_support,death_place_support,residence_support,work_location_support
http://www.wikidata.org/entity/Q2959479,Charles Joseph Colnet Du Ravel,France,2,2,2,1.0,birth_place | death_place,Belleville (Q1440685) | Mondrepuis (Q869656),Q142,True,True,False,False
http://www.wikidata.org/entity/Q19277251,Charles Joseph de Mayer,France,1,1,1,1.0,birth_place,Toulon (Q44160),Q142,True,False,False,False
http://www.wikidata.org/entity/Q2959544,Charles Laffillé,France,2,2,2,1.0,birth_place | death_place,Paris (Q90) | Saint-Valery-sur-Somme (Q473842),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q2959602,Charles Le Carpentier,France,3,3,3,1.0,birth_place | death_place | work_location,Pont-Audemer (Q367667) | Rouen (Q30974),Q142,True,True,False,True
http://www.wikidata.org/entity/Q2618388,Charles Louis Cadet de Gassicourt,France,2,2,2,1.0,birth_place | death_place,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q41618439,Charles Marie Théveneau,France,2,2,2,1.0,birth_place | work_location,Brest (Q12193) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,False,False,True
http://www.wikidata.org/entity/Q26681,Charles Marie de La Condamine,France,2,2,2,1.0,birth_place | death_place,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q48658501,Charles Nanteuil,France,2,2,2,1.0,birth_place | death_place,Lieusaint (Q1441028) | Toulouse (Q7880),Q142,True,True,False,False
http://www.wikidata.org/entity/Q965322,Charles Palissot de Montenoy,France,2,2,2,1.0,birth_place | death_place,Nancy (Q40898) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q1065745,Charles Paul Landon,France,3,3,3,1.0,birth_place | death_place | work_location,Nonant-le-Pin (Q305400) | Paris (Q90) | Rome (Q220),Q142 | Q58296 | Q70972 | Q71084,True,True,False,True
http://www.wikidata.org/entity/Q1065745,Charles Paul Landon,Italian,3,3,1,0.3333,work_location,Rome (Q220),Q170174 | Q38,False,False,False,True
http://www.wikidata.org/entity/Q55876416,Charles Philippe Toussaint Guiraudet,France,2,2,2,1.0,birth_place | death_place,Alès (Q193183) | Dijon (Q7003),Q142,True,True,False,False
http://www.wikidata.org/entity/Q982034,Charles Pinot Duclos,France,2,2,2,1.0,birth_place | death_place,Dinan (Q201311) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q2960049,Charles Porée,France,2,2,2,1.0,birth_place | death_place,Paris (Q90) | Vendes (Q681181),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q2960336,Charles Théveneau de Morande,France,2,2,2,1.0,birth_place | death_place,Arnay-le-Duc (Q16031),Q142,True,True,False,False
http://www.wikidata.org/entity/Q116778,Charles Victor de Bonstetten,France,2,2,1,0.5,death_place,Genève (Q71),Q142,False,True,False,False
http://www.wikidata.org/entity/Q116778,Charles Victor de Bonstetten,Swiss,2,2,2,1.0,birth_place | death_place,Berne (Q70) | Genève (Q71),Q23366230 | Q39 | Q435583,True,True,False,False
http://www.wikidata.org/entity/Q715027,Charles d'Éon de Beaumont,British,2,2,1,0.5,death_place,Londres (Q84),Q145 | Q161885 | Q174193 | Q179876 | Q21,False,True,False,False
http://www.wikidata.org/entity/Q715027,Charles d'Éon de Beaumont,France,2,2,1,0.5,birth_place,Tonnerre (Q498854),Q142,True,False,False,False
http://www.wikidata.org/entity/Q725718,Charles de Brosses,France,2,2,2,1.0,birth_place | death_place,Dijon (Q7003) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q2960572,Charles de Fieux de Mouhy,France,2,2,2,1.0,birth_place | death_place,Metz (Q22690) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q2960572,Charles de Fieux de Mouhy,Germany,2,2,1,0.5,birth_place,Metz (Q22690),Q1206012 | Q183 | Q43287,True,False,False,False
http://www.wikidata.org/entity/Q2279426,Charles de Lacretelle,France,2,2,2,1.0,birth_place | death_place,Metz (Q22690) | Mâcon (Q174247),Q142 | Q70972,True,True,False,False
http://www.wikidata.org/entity/Q2279426,Charles de Lacretelle,Germany,2,2,1,0.5,birth_place,Metz (Q22690),Q1206012 | Q183 | Q43287,True,False,False,False
http://www.wikidata.org/entity/Q21936814,Charles de Longchamps,France,2,1,1,0.5,death_place,Louviers (Q474480),Q142,False,True,False,False
http://www.wikidata.org/entity/Q2960678,Charles de Pougens,France,3,3,3,1.0,birth_place | death_place | work_location,Paris (Q90) | Vauxbuin (Q1062155),Q142 | Q58296 | Q70972 | Q71084,True,True,False,True
http://www.wikidata.org/entity/Q876867,Charles de Villers,France,3,3,2,0.6667,birth_place | work_location,Boulay-Moselle (Q22542) | Lübeck (Q2843),Q142 | Q71084,True,False,False,True
http://www.wikidata.org/entity/Q876867,Charles de Villers,German,3,3,2,0.6667,death_place | work_location,Göttingen (Q3033) | Lübeck (Q2843),Q12548 | Q164079 | Q2415901 | Q55300 | Q7318,False,True,False,True
http://www.wikidata.org/entity/Q876867,Charles de Villers,Germany,3,3,3,1.0,birth_place | death_place | work_location,Boulay-Moselle (Q22542) | Göttingen (Q3033) | Lübeck (Q2843),Q1206012 | Q183 | Q27306 | Q41304 | Q43287,True,True,False,True
http://www.wikidata.org/entity/Q2960729,Charles de Villette,France,3,3,3,1.0,birth_place | death_place | work_location,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,True
http://www.wikidata.org/entity/Q1231575,Charles Étienne Louis Camus,France,3,3,3,1.0,birth_place | death_place | work_location,Crécy-en-Brie (Q42906717) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,True
http://www.wikidata.org/entity/Q1231575,Charles Étienne Louis Camus,Russian,3,3,1,0.3333,work_location,Laponie (Q62132),Q159,False,False,False,True
http://www.wikidata.org/entity/Q1231575,Charles Étienne Louis Camus,Swedish,3,3,1,0.3333,work_location,Laponie (Q62132),Q34,False,False,False,True
http://www.wikidata.org/entity/Q2957906,Charles-Albert Demoustier,France,2,2,2,1.0,birth_place | death_place,Paris (Q90) | Villers-Cotterêts (Q213883),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q20076182,Charles-Antoine Chabanon de Maugris,France,2,2,2,1.0,birth_place | death_place,Paris (Q90) | Saint-Domingue (Q861551),Q142 | Q58296 | Q70972 | Q71084 | Q861551,True,True,False,False
http://www.wikidata.org/entity/Q3666315,Charles-Antoine Jombert,France,3,3,3,1.0,birth_place | death_place | work_location,Paris (Q90) | Saint-Germain-en-Laye (Q185075),Q142 | Q58296 | Q70972 | Q71084,True,True,False,True
http://www.wikidata.org/entity/Q1063337,Charles-Antoine Leclerc de La Bruère,France,2,2,2,1.0,birth_place | death_place,Crépy-en-Valois (Q182287) | Rome (Q220),Q142,True,True,False,False
http://www.wikidata.org/entity/Q1063337,Charles-Antoine Leclerc de La Bruère,Italian,2,2,1,0.5,death_place,Rome (Q220),Q170174 | Q38,False,True,False,False
http://www.wikidata.org/entity/Q2957975,Charles-Augustin Vandermonde,France,2,2,1,0.5,death_place,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,False,True,False,False
http://www.wikidata.org/entity/Q2957975,Charles-Augustin Vandermonde,Portuguese,2,2,1,0.5,birth_place,Macao (Q3916279),Q45 | Q45670,True,False,False,False
http://www.wikidata.org/entity/Q119893,Charles-Benjamin de Lubières,German,1,1,1,1.0,birth_place,Berlin (Q64),Q55300 | Q7318,True,False,False,False
http://www.wikidata.org/entity/Q119893,Charles-Benjamin de Lubières,Germany,1,1,1,1.0,birth_place,Berlin (Q64),Q1206012 | Q183 | Q27306 | Q41304 | Q43287,True,False,False,False
http://www.wikidata.org/entity/Q35384049,Charles-Claude-Florent Thorel de Campigneulles,France,2,2,2,1.0,birth_place | death_place,Montreuil-sur-Mer (Q213344) | Trévoux (Q244565),Q142,True,True,False,False
http://www.wikidata.org/entity/Q15430610,Charles-Etienne Gaucher,France,3,3,3,1.0,birth_place | death_place | work_location,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,True
http://www.wikidata.org/entity/Q378572,Charles-François Dumouriez,British,3,3,2,0.6667,death_place | residence,Maison Rochester (Bâtiment principal) au lycée Lourdes Mount Convent (Q26351910) | Turville (Q2538997),Q145 | Q21,False,True,True,False
http://www.wikidata.org/entity/Q378572,Charles-François Dumouriez,France,3,3,1,0.3333,birth_place,Cambrai (Q181285),Q142,True,False,False,False
http://www.wikidata.org/entity/Q2958046,Charles-François François,France,2,2,2,1.0,birth_place | death_place,Ginchy (Q157281) | Nantes (Q12191),Q142,True,True,False,False
http://www.wikidata.org/entity/Q2958058,Charles-François Racot de Grandval,France,2,2,2,1.0,birth_place | death_place,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q2958070,Charles-François Tiphaigne de La Roche,France,2,2,2,1.0,birth_place | death_place,Montebourg (Q626589),Q142,True,True,False,False
http://www.wikidata.org/entity/Q2958064,Charles-François de Flahaut de La Billarderie,France,2,2,2,1.0,birth_place | death_place,Arras (Q131329) | Nesles-la-Vallée (Q257850),Q142,True,True,False,False
http://www.wikidata.org/entity/Q1685423,Charles-François de Ladoucette,France,3,3,3,1.0,birth_place | death_place | work_location,Nancy (Q40898) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,True
http://www.wikidata.org/entity/Q73890,Charles-Frédéric Reinhard,France,2,2,1,0.5,death_place,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,False,True,False,False
http://www.wikidata.org/entity/Q73890,Charles-Frédéric Reinhard,German,2,2,1,0.5,birth_place,Schorndorf (Q14882),Q159631 | Q2227570,True,False,False,False
http://www.wikidata.org/entity/Q73890,Charles-Frédéric Reinhard,Germany,2,2,1,0.5,birth_place,Schlichtener Straße 8 (Schorndorf) (Q131376415) | Schorndorf (Q14882),Q183,True,False,False,False
