wikidata_id,name,candidate_affiliation,possible_box_count,citizenship_support,native_language_support,spoken_written_language_support,writing_language_support,checked_box_count,score_share
http://www.wikidata.org/entity/Q88270808,Marie-Elisabeth de Polier,French,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q88270808,Marie-Elisabeth de Polier,German,3,True,False,True,False,2,0.6667
http://www.wikidata.org/entity/Q88270808,Marie-Elisabeth de Polier,Swiss,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q3291841,Marie-Félix Faulcon de La Parisière,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q3291841,Marie-Félix Faulcon de La Parisière,French,3,False,True,True,False,2,0.6667
http://www.wikidata.org/entity/Q1336002,Marie-Gabriel-Florent-Auguste de Choiseul-Gouffier,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q1336002,Marie-Gabriel-Florent-Auguste de Choiseul-Gouffier,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q3291849,Marie-Geneviève-Charlotte Thiroux d’Arconville,France,4,True,False,False,False,1,0.25
http://www.wikidata.org/entity/Q3291849,Marie-Geneviève-Charlotte Thiroux d’Arconville,French,4,False,True,True,True,3,0.75
http://www.wikidata.org/entity/Q3087936,Marie-Jeanne Riccoboni,France,4,True,False,False,False,1,0.25
http://www.wikidata.org/entity/Q3087936,Marie-Jeanne Riccoboni,French,4,False,True,True,True,3,0.75
http://www.wikidata.org/entity/Q736424,Marie-Joseph Chénier,France,4,True,False,False,False,1,0.25
http://www.wikidata.org/entity/Q736424,Marie-Joseph Chénier,French,4,False,True,True,True,3,0.75
http://www.wikidata.org/entity/Q3292009,Marie-Joséphine de Comarieu de Montalembert,France,1,True,False,False,False,1,1.0
http://www.wikidata.org/entity/Q60844113,Marie-Joséphine de Lescun de Monbart,French,1,False,False,True,False,1,1.0
http://www.wikidata.org/entity/Q3292116,Marie-Madeleine Hachard,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q3292116,Marie-Madeleine Hachard,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q1897207,Marie-Madeleine Jodin,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q1897207,Marie-Madeleine Jodin,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q106648902,Marie-Magdeleine de Bonafons,France,2,True,False,False,False,1,0.5
