wikidata_id,name,source_row_count,birth_year_values,birth_place_values,occupation_raw,citizenship_ids,native_language_ids,spoken_written_language_ids,writing_language_ids,gender_ids,ethnic_group_ids,occupation_ids,occupation_labels,writerly_occupation_ids,nonwriter_occupation_ids,entity_label_languages,entity_description_languages,duplicate_row_count,wikipedia_sitelink_count,european_label_count,european_description_count,has_duplicate_wikidata_id,name_is_qid,birth_place_is_qid,viaf_has_conflict,has_frwiki,has_enwiki,has_dewiki,has_itwiki,has_eswiki,has_plwiki,has_ruwiki,has_ukwiki,has_nlwiki,has_ptwiki,has_svwiki,has_dawiki,gender_category,occupation_raw_tokens,place_evidence_role_count,mapped_place_role_count,place_candidate_affiliation_count,best_place_candidate_affiliation,top_place_candidate_affiliations,top_place_checked_role_count,second_place_checked_role_count,top_place_score_share,top_place_candidate_tie_count,place_affiliation_review_status,place_affiliation_category
http://www.wikidata.org/entity/Q4259143,François-Bernard Lépicié,1,1698,Paris,biographe,Q142,,Q150,,Q6581097,,Q201788 | Q329439 | Q864380,biographe | historien ou historienne | orfèvre graveur ou graveuse,Q864380,Q201788 | Q329439,da | de | en | es | fr | it | nl | pl | pt | ru | sv,de | en | es | fr | nl,1,6,11,5,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,male,biographe,3,3,2,France,France,3,1,1.0,1,strong_place,France
http://www.wikidata.org/entity/Q2958057,François-Charles Panard,1,1689,Courville-sur-Eure,"chansonnier, dramaturge, poète ou poétesse, écrivain ou écrivaine",Q70972,Q150,Q150,Q150,Q6581097,,Q13391399 | Q214917 | Q36180 | Q49757,chansonnier | dramaturge | poète ou poétesse | écrivain ou écrivaine,Q13391399 | Q214917 | Q36180 | Q49757,,da | de | en | es | fr | it | nl | pt | ru | sv,de | en | fr | it | nl,1,6,10,5,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,male,chansonnier | dramaturge | poète ou poétesse | écrivain ou écrivaine,2,2,1,France,France,2,0,1.0,1,tentative_place,France
http://www.wikidata.org/entity/Q12312228,François-Célestin de Loynes-Barraud La Coudraye,1,1743,Fontenay-le-Comte,écrivain ou écrivaine,Q142 | Q756617,Q150,Q150,,Q6581097,,Q10669499 | Q169470 | Q36180 | Q82955,officier de marine | personnalité politique | physicien ou physicienne | écrivain ou écrivaine,Q36180,Q10669499 | Q169470 | Q82955,da | de | en | es | fr | it | nl | pl | pt | sv,da | de | en | es | fr | it | nl | pl | pt | ru | sv | uk,1,2,10,12,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,male,écrivain ou écrivaine,2,2,2,,France | Russian,1,1,0.5,2,mixed_place_top_score,mixed_or_ambiguous
http://www.wikidata.org/entity/Q3083366,François-Félix Nogaret,1,1740,Versailles,écrivain ou écrivaine,Q142,Q150,Q150,Q150,Q6581097,,Q36180,écrivain ou écrivaine,Q36180,,da | de | en | es | fr | it | nl | pt | sv,en | es | fr | it | nl | pt | ru | uk,1,1,9,8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,male,écrivain ou écrivaine,2,2,1,France,France,2,0,1.0,1,tentative_place,France
http://www.wikidata.org/entity/Q974287,François-Georges Mareschal de Bièvre,1,1747,Paris,"dramaturge, écrivain ou écrivaine",Q142,Q150,Q150,Q150,Q6581097,,Q189290 | Q214917 | Q36180 | Q744738,dramaturge | encyclopédiste | officier | écrivain ou écrivaine,Q214917 | Q36180,Q189290 | Q744738,da | de | en | es | fr | it | nl | pl | ru | sv | uk,da | de | en | es | fr | it | nl | pt | ru | sv | uk,1,8,11,11,False,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,male,dramaturge | écrivain ou écrivaine,2,2,2,,France | Germany,1,1,0.5,2,mixed_place_top_score,mixed_or_ambiguous
http://www.wikidata.org/entity/Q26421582,François-Germain La Fermière,1,1737,Strasbourg,"librettiste, écrivain ou écrivaine",Q142,Q150,Q150 | Q188,,Q6581097,,Q182436 | Q36180 | Q8178443,bibliothécaire | librettiste | écrivain ou écrivaine,Q36180 | Q8178443,Q182436,da | de | en | es | fr | it | nl | ru | sv | uk,en | es | fr | it | nl | pt | ru | uk,1,2,10,8,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,male,librettiste | écrivain ou écrivaine,2,2,4,,France | German | Germany | Russian,1,1,0.5,4,mixed_place_top_score,mixed_or_ambiguous
http://www.wikidata.org/entity/Q64585039,François-Gervais-Édouard Lecouturier,1,1768,Falaise,écrivain ou écrivaine,Q142,,Q150,,Q6581097,,Q36180,écrivain ou écrivaine,Q36180,,da | de | en | es | fr | it | nl | sv,en | es | fr | it | nl | pt,1,1,8,6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,male,écrivain ou écrivaine,2,2,1,France,France,2,0,1.0,1,tentative_place,France
http://www.wikidata.org/entity/Q3083388,François-Henri d'Harcourt,1,1726,Paris,écrivain ou écrivaine,Q142,,Q150,,Q6581097,,Q36180 | Q82955,personnalité politique | écrivain ou écrivaine,Q36180,Q82955,da | de | en | es | fr | it | nl | pt | ru | sv,de | en | fr | nl,1,5,10,4,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,male,écrivain ou écrivaine,2,2,2,,British | France,1,1,0.5,2,mixed_place_top_score,mixed_or_ambiguous
http://www.wikidata.org/entity/Q3083416,François-Jean Willemain d'Abancourt,1,1745,Paris,"dramaturge, poète ou poétesse, écrivain ou écrivaine, fabuliste",Q142,Q150,Q150 | Q188,,Q6581097,,Q18120029 | Q214917 | Q3064032 | Q333634 | Q36180 | Q49757,bibliophile | dramaturge | fabuliste | poète ou poétesse | traducteur ou traductrice | écrivain ou écrivaine,Q214917 | Q3064032 | Q36180 | Q49757,Q18120029 | Q333634,da | de | en | es | fr | it | nl | pt | sv,en | fr | it | nl,1,5,9,4,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,male,dramaturge | fabuliste | poète ou poétesse | écrivain ou écrivaine,2,2,1,France,France,2,0,1.0,1,tentative_place,France
http://www.wikidata.org/entity/Q3083414,François-Joachim Duport du Tertre,1,1716,Saint-Malo,écrivain ou écrivaine,Q142,Q150,Q150,,Q6581097,,Q36180,écrivain ou écrivaine,Q36180,,da | de | en | es | fr | it | nl | pt | sv,en | es | fr | it | nl | pt,1,1,9,6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,male,écrivain ou écrivaine,1,1,1,France,France,1,0,1.0,1,single_place_signal,France
