wikidata_id,name,language_edition,has_article,wikipedia_sitelink_count,gender_category,affiliation_category,place_affiliation_category,best_place_candidate_affiliation,top_place_candidate_affiliations,place_affiliation_review_status,top_candidate_affiliations,affiliation_review_status,has_duplicate_wikidata_id,viaf_has_conflict
http://www.wikidata.org/entity/Q2825256,Adrien Richer,frwiki,True,3,male,French,France,France,France,tentative_place,French,tentative,False,False
http://www.wikidata.org/entity/Q2825256,Adrien Richer,enwiki,False,3,male,French,France,France,France,tentative_place,French,tentative,False,False
http://www.wikidata.org/entity/Q2825256,Adrien Richer,dewiki,False,3,male,French,France,France,France,tentative_place,French,tentative,False,False
http://www.wikidata.org/entity/Q2825256,Adrien Richer,itwiki,False,3,male,French,France,France,France,tentative_place,French,tentative,False,False
http://www.wikidata.org/entity/Q2825256,Adrien Richer,eswiki,False,3,male,French,France,France,France,tentative_place,French,tentative,False,False
http://www.wikidata.org/entity/Q2825256,Adrien Richer,plwiki,False,3,male,French,France,France,France,tentative_place,French,tentative,False,False
http://www.wikidata.org/entity/Q2825256,Adrien Richer,ruwiki,True,3,male,French,France,France,France,tentative_place,French,tentative,False,False
http://www.wikidata.org/entity/Q2825256,Adrien Richer,ukwiki,False,3,male,French,France,France,France,tentative_place,French,tentative,False,False
http://www.wikidata.org/entity/Q2825256,Adrien Richer,nlwiki,False,3,male,French,France,France,France,tentative_place,French,tentative,False,False
http://www.wikidata.org/entity/Q2825256,Adrien Richer,ptwiki,False,3,male,French,France,France,France,tentative_place,French,tentative,False,False
http://www.wikidata.org/entity/Q2825256,Adrien Richer,svwiki,False,3,male,French,France,France,France,tentative_place,French,tentative,False,False
http://www.wikidata.org/entity/Q2825256,Adrien Richer,dawiki,False,3,male,French,France,France,France,tentative_place,French,tentative,False,False
http://www.wikidata.org/entity/Q377307,Adrien de Lezay-Marnésia,frwiki,True,3,male,French,France,France,France,tentative_place,French,tentative,False,False
http://www.wikidata.org/entity/Q377307,Adrien de Lezay-Marnésia,enwiki,True,3,male,French,France,France,France,tentative_place,French,tentative,False,False
http://www.wikidata.org/entity/Q377307,Adrien de Lezay-Marnésia,dewiki,True,3,male,French,France,France,France,tentative_place,French,tentative,False,False
http://www.wikidata.org/entity/Q377307,Adrien de Lezay-Marnésia,itwiki,False,3,male,French,France,France,France,tentative_place,French,tentative,False,False
http://www.wikidata.org/entity/Q377307,Adrien de Lezay-Marnésia,eswiki,False,3,male,French,France,France,France,tentative_place,French,tentative,False,False
http://www.wikidata.org/entity/Q377307,Adrien de Lezay-Marnésia,plwiki,False,3,male,French,France,France,France,tentative_place,French,tentative,False,False
