wikidata_id,person_id,name,candidate_affiliation_count,best_candidate_affiliation,top_candidate_affiliations,top_supporting_evidence_count,second_supporting_evidence_count,top_candidate_tie_count,available_mapped_evidence_count,total_evidence_fields,top_score_over_total_fields,top_score_over_available_fields,score_formula,available_score_formula
http://www.wikidata.org/entity/Q62287125,Q62287125,Marie-Émilie Maryon de Montanclos,2,France,France,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q623180,Q623180,Carlo Giuseppe Guglielmo Botta,3,,France | Italian,3,1,2,6,8,0.375,0.5,3 / 8,3 / 6
http://www.wikidata.org/entity/Q62391224,Q62391224,Dufresnel,2,France,France,3,1,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q62391233,Q62391233,Adine Joliveau de Ségrais,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q62471671,Q62471671,Philippe-Charles Aubry,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q62587746,Q62587746,Jean Jacques Bel,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q62698853,Q62698853,Antoine d'Origny,1,France,France,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q62721180,Q62721180,Jacques Calmanson,3,French,French,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q630116,Q630116,Manuel Maria Barbosa du Bocage,2,Portuguese,Portuguese,5,1,1,5,8,0.625,1.0,5 / 8,5 / 5
http://www.wikidata.org/entity/Q63154834,Q63154834,Claude-François-Félix Boulenger de Rivery,1,France,France,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q632395,Q632395,Otto Wilhelm Masing,5,,Estonian | Russian,3,1,2,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q63323779,Q63323779,Étienne Salomon Reybaz,3,France,France,2,1,1,4,8,0.25,0.5,2 / 8,2 / 4
http://www.wikidata.org/entity/Q63334254,Q63334254,Louis François Joseph Alhoy,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q63348415,Q63348415,Pons Louis François de Villeneuve,2,France,France,3,2,1,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q63441990,Q63441990,Émilie Millon-Journel,2,,France | French,2,0,2,4,8,0.25,0.5,2 / 8,2 / 4
http://www.wikidata.org/entity/Q63485595,Q63485595,Mariette Moreaud Monnet,2,France,France,3,2,1,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q63486278,Q63486278,Claude-Jeanne Chompré Defrance,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q63639,Q63639,Charlotte Buff,3,,German | Germany,3,1,2,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q637431,Q637431,Étienne Pélabon,2,France,France,3,2,1,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q63784,Q63784,Barbara Juliane von Krüdener,7,,German | Russian,4,2,2,6,8,0.5,0.6667,4 / 8,4 / 6
http://www.wikidata.org/entity/Q64348612,Q64348612,Pierre-Philippe Grappin,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q6454735,Q6454735,José Martínez de Hervás,3,Spanish,Spanish,4,1,1,5,8,0.5,0.8,4 / 8,4 / 5
http://www.wikidata.org/entity/Q64585039,Q64585039,François-Gervais-Édouard Lecouturier,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q64833825,Q64833825,Antoine-Gervais Girard,1,France,France,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q649087,Q649087,Samuel Henzi,3,Swiss,Swiss,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q649330,Q649330,Jean-Charles Laveaux,5,France,France,4,3,1,7,8,0.5,0.5714,4 / 8,4 / 7
http://www.wikidata.org/entity/Q649515,Q649515,Jean-Louis Laya,2,,France | French,3,0,2,6,8,0.375,0.5,3 / 8,3 / 6
http://www.wikidata.org/entity/Q652013,Q652013,Marie-Thérèse Reboul,3,France,France,4,1,1,5,8,0.5,0.8,4 / 8,4 / 5
http://www.wikidata.org/entity/Q6527,Q6527,Jean-Jacques Rousseau,5,France,France,4,3,1,7,8,0.5,0.5714,4 / 8,4 / 7
http://www.wikidata.org/entity/Q655181,Q655181,François Jean de Chastellux,2,,France | French,3,0,2,6,8,0.375,0.5,3 / 8,3 / 6
http://www.wikidata.org/entity/Q65554725,Q65554725,Louis-Germain Petitain,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q65666055,Q65666055,Pierre-Jean Kerhervé,2,,France | Spanish,2,0,2,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q65788850,Q65788850,André-Joseph Grétry,2,France,France,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
