wikidata_id,person_id,name,candidate_affiliation,supporting_evidence_count,available_mapped_evidence_count,total_evidence_fields,score_over_total_fields,score_over_available_fields,supporting_evidence_fields,available_mapped_evidence_fields,score_formula,available_score_formula,citizenship_available,citizenship_support,citizenship_candidate_affiliations,native_language_available,native_language_support,native_language_candidate_affiliations,spoken_written_language_available,spoken_written_language_support,spoken_written_language_candidate_affiliations,writing_language_available,writing_language_support,writing_language_candidate_affiliations,birth_place_available,birth_place_support,birth_place_candidate_affiliations,death_place_available,death_place_support,death_place_candidate_affiliations,residence_available,residence_support,residence_candidate_affiliations,work_location_available,work_location_support,work_location_candidate_affiliations
http://www.wikidata.org/entity/Q2854095,Q2854095,Antoine Jean Sticotti,French,1,3,8,0.125,0.3333,spoken_written_language,citizenship | spoken_written_language | birth_place,1 / 8,1 / 3,True,False,France,False,False,,True,True,French,False,False,,True,False,Italian,False,False,,False,False,,False,False,
http://www.wikidata.org/entity/Q2854095,Q2854095,Antoine Jean Sticotti,Italian,1,3,8,0.125,0.3333,birth_place,citizenship | spoken_written_language | birth_place,1 / 8,1 / 3,True,False,France,False,False,,True,False,French,False,False,,True,True,Italian,False,False,,False,False,,False,False,
http://www.wikidata.org/entity/Q2854101,Q2854101,Antoine Joseph Barruel-Beauvert,France,3,5,8,0.375,0.6,citizenship | birth_place | death_place,citizenship | spoken_written_language | writing_language | birth_place | death_place,3 / 8,3 / 5,True,True,France,False,False,,True,False,French,True,False,French,True,True,France,True,True,France | Italian,False,False,,False,False,
http://www.wikidata.org/entity/Q2854101,Q2854101,Antoine Joseph Barruel-Beauvert,French,2,5,8,0.25,0.4,spoken_written_language | writing_language,citizenship | spoken_written_language | writing_language | birth_place | death_place,2 / 8,2 / 5,True,False,France,False,False,,True,True,French,True,True,French,True,False,France,True,False,France | Italian,False,False,,False,False,
http://www.wikidata.org/entity/Q2854101,Q2854101,Antoine Joseph Barruel-Beauvert,Italian,1,5,8,0.125,0.2,death_place,citizenship | spoken_written_language | writing_language | birth_place | death_place,1 / 8,1 / 5,True,False,France,False,False,,True,False,French,True,False,French,True,False,France,True,True,France | Italian,False,False,,False,False,
http://www.wikidata.org/entity/Q2854136,Q2854136,Antoine Le Bailly,France,3,4,8,0.375,0.75,citizenship | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2854136,Q2854136,Antoine Le Bailly,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2856591,Q2856591,Antoine Pascal Hyacinthe Sermet,France,2,3,8,0.25,0.6667,citizenship | birth_place,citizenship | spoken_written_language | birth_place,2 / 8,2 / 3,True,True,France,False,False,,True,False,French,False,False,,True,True,France,False,False,,False,False,,False,False,
http://www.wikidata.org/entity/Q2856591,Q2856591,Antoine Pascal Hyacinthe Sermet,French,1,3,8,0.125,0.3333,spoken_written_language,citizenship | spoken_written_language | birth_place,1 / 8,1 / 3,True,False,France,False,False,,True,True,French,False,False,,True,False,France,False,False,,False,False,,False,False,
http://www.wikidata.org/entity/Q2856606,Q2856606,Antoine Peyrol,France,3,5,8,0.375,0.6,citizenship | birth_place | death_place,citizenship | spoken_written_language | writing_language | birth_place | death_place,3 / 8,3 / 5,True,True,France,False,False,,True,False,French | Occitan,True,False,Occitan,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2856606,Q2856606,Antoine Peyrol,French,1,5,8,0.125,0.2,spoken_written_language,citizenship | spoken_written_language | writing_language | birth_place | death_place,1 / 8,1 / 5,True,False,France,False,False,,True,True,French | Occitan,True,False,Occitan,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2856606,Q2856606,Antoine Peyrol,Occitan,2,5,8,0.25,0.4,spoken_written_language | writing_language,citizenship | spoken_written_language | writing_language | birth_place | death_place,2 / 8,2 / 5,True,False,France,False,False,,True,True,French | Occitan,True,True,Occitan,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2856670,Q2856670,Antoine Renou,France,4,5,8,0.5,0.8,citizenship | birth_place | death_place | work_location,citizenship | spoken_written_language | birth_place | death_place | work_location,4 / 8,4 / 5,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France,False,False,,True,True,France | Italian | Polish
http://www.wikidata.org/entity/Q2856670,Q2856670,Antoine Renou,French,1,5,8,0.125,0.2,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place | work_location,1 / 8,1 / 5,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,France,False,False,,True,False,France | Italian | Polish
http://www.wikidata.org/entity/Q2856670,Q2856670,Antoine Renou,Italian,1,5,8,0.125,0.2,work_location,citizenship | spoken_written_language | birth_place | death_place | work_location,1 / 8,1 / 5,True,False,France,False,False,,True,False,French,False,False,,True,False,France,True,False,France,False,False,,True,True,France | Italian | Polish
http://www.wikidata.org/entity/Q2856670,Q2856670,Antoine Renou,Polish,1,5,8,0.125,0.2,work_location,citizenship | spoken_written_language | birth_place | death_place | work_location,1 / 8,1 / 5,True,False,France,False,False,,True,False,French,False,False,,True,False,France,True,False,France,False,False,,True,True,France | Italian | Polish
http://www.wikidata.org/entity/Q2856675,Q2856675,Antoine Ricouart d'Hérouville,France,3,4,8,0.375,0.75,citizenship | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2856675,Q2856675,Antoine Ricouart d'Hérouville,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2856749,Q2856749,Antoine Sérieys,France,2,3,8,0.25,0.6667,citizenship | birth_place,citizenship | spoken_written_language | birth_place,2 / 8,2 / 3,True,True,France,False,False,,True,False,French,False,False,,True,True,France,False,False,,False,False,,False,False,
http://www.wikidata.org/entity/Q2856749,Q2856749,Antoine Sérieys,French,1,3,8,0.125,0.3333,spoken_written_language,citizenship | spoken_written_language | birth_place,1 / 8,1 / 3,True,False,France,False,False,,True,True,French,False,False,,True,False,France,False,False,,False,False,,False,False,
http://www.wikidata.org/entity/Q2856795,Q2856795,Antoine Vieillard de Boismartin,France,3,4,8,0.375,0.75,citizenship | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2856795,Q2856795,Antoine Vieillard de Boismartin,French,1,4,8,0.125,0.25,spoken_written_language,citizenship | spoken_written_language | birth_place | death_place,1 / 8,1 / 4,True,False,France,False,False,,True,True,French,False,False,,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2856819,Q2856819,Antoine Yart,France,4,7,8,0.5,0.5714,citizenship | birth_place | death_place | residence,citizenship | native_language | spoken_written_language | writing_language | birth_place | death_place | residence,4 / 8,4 / 7,True,True,France,True,False,French,True,False,French,True,False,French,True,True,France,True,True,France,True,True,France,False,False,
http://www.wikidata.org/entity/Q2856819,Q2856819,Antoine Yart,French,3,7,8,0.375,0.4286,native_language | spoken_written_language | writing_language,citizenship | native_language | spoken_written_language | writing_language | birth_place | death_place | residence,3 / 8,3 / 7,True,False,France,True,True,French,True,True,French,True,True,French,True,False,France,True,False,France,True,False,France,False,False,
http://www.wikidata.org/entity/Q2856859,Q2856859,Antoine de Cournand,France,3,5,8,0.375,0.6,citizenship | birth_place | death_place,citizenship | spoken_written_language | writing_language | birth_place | death_place,3 / 8,3 / 5,True,True,France,False,False,,True,False,French,True,False,French,True,True,France,True,True,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2856859,Q2856859,Antoine de Cournand,French,2,5,8,0.25,0.4,spoken_written_language | writing_language,citizenship | spoken_written_language | writing_language | birth_place | death_place,2 / 8,2 / 5,True,False,France,False,False,,True,True,French,True,True,French,True,False,France,True,False,France,False,False,,False,False,
http://www.wikidata.org/entity/Q2856864,Q2856864,Antoine de Fériol de Pont-de-Veyle,France,3,4,8,0.375,0.75,citizenship | birth_place | death_place,citizenship | spoken_written_language | birth_place | death_place,3 / 8,3 / 4,True,True,France,False,False,,True,False,French,False,False,,True,True,France,True,True,France,False,False,,False,False,
