query (2),Unnamed: 1,Unnamed: 2,Unnamed: 3
person,personLabel,birth,viaf
http://www.wikidata.org/entity/Q3171849,Jean Duhamel,1700-01-01T00:00:00Z,293478878
http://www.wikidata.org/entity/Q27949364,Allain,1700-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q95914910,Pierre Gras du Villard,1700-01-01T00:00:00Z,10152864069504822032
http://www.wikidata.org/entity/Q102179156,Mademoiselle de Montmort,1700-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q123403375,Jeanne Bisson de la Coudraye,1700-01-01T00:00:00Z,313246578
http://www.wikidata.org/entity/Q135652139,René de Bonneval,1700-01-01T00:00:00Z,63849332
http://www.wikidata.org/entity/Q136346249,Madame Moylin-Fleury,1700-01-01T00:00:00Z,64281477
http://www.wikidata.org/entity/Q136346249,Madame Moylin-Fleury,1700-01-01T00:00:00Z,5994150749016516420008
http://www.wikidata.org/entity/Q136346249,Madame Moylin-Fleury,1700-01-01T00:00:00Z,316011922
http://www.wikidata.org/entity/Q136533013,Mademoiselle de La Chaise,1700-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q136543460,Marie de Cadrels,1700-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q136433025,Mademoiselle Moussard,1700-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q136437841,Madame Mazel,1700-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q136440464,N. de Montreul,1700-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q136440535,Roberte Mougne,1700-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q136704452,Marie-Victoire Frescarode,1700-01-01T00:00:00Z,9837755
http://www.wikidata.org/entity/Q136719529,Madame Levacher de Valincourt,1700-01-01T00:00:00Z,12318264
http://www.wikidata.org/entity/Q30146133,François-Bernard Cocquard,1700-01-04T00:00:00Z,34353329
http://www.wikidata.org/entity/Q3525478,Thomas Pichon,1700-03-30T00:00:00Z,69853358
http://www.wikidata.org/entity/Q120146958,Girardeau,1700-09-01T00:00:00Z,265190282
http://www.wikidata.org/entity/Q2396671,Étienne-Maurice Chompré,1701-01-01T00:00:00Z,56637478
http://www.wikidata.org/entity/Q3106180,Jean-Baptiste Germain,1701-01-01T00:00:00Z,198902699
http://www.wikidata.org/entity/Q3275841,Mademoiselle Archambault,1701-01-01T00:00:00Z,56743810
http://www.wikidata.org/entity/Q6525064,Leonard Alea,1701-01-01T00:00:00Z,227711177
http://www.wikidata.org/entity/Q8326017,Henri Pajon,1701-01-01T00:00:00Z,223767982
http://www.wikidata.org/entity/Q18117961,Henri Villemain,1701-01-01T00:00:00Z,209233551
http://www.wikidata.org/entity/Q18197557,Arthur Halbert,1701-01-01T00:00:00Z,211005030
http://www.wikidata.org/entity/Q18197557,Arthur Halbert,1701-01-01T00:00:00Z,29568161
http://www.wikidata.org/entity/Q18197557,Arthur Halbert,1701-01-01T00:00:00Z,309652719
http://www.wikidata.org/entity/Q21014815,Léopold Chandezon,1701-01-01T00:00:00Z,54281264
http://www.wikidata.org/entity/Q21014815,Léopold Chandezon,1701-01-01T00:00:00Z,874145857091022922096
http://www.wikidata.org/entity/Q2853979,Antoine Gautier de Montdorge,1701-01-17T00:00:00Z,61556096
http://www.wikidata.org/entity/Q43764169,Pierre de Morand,1701-02-08T00:00:00Z,69219807
http://www.wikidata.org/entity/Q26214425,Pierre Abraham de La Bretonnière,1701-02-11T00:00:00Z,295892470
http://www.wikidata.org/entity/Q2977416,Claude François du Verdier de La Sorinière,1701-02-25T00:00:00Z,306423989
http://www.wikidata.org/entity/Q2960572,Charles de Fieux de Mouhy,1701-05-09T00:00:00Z,9858280
http://www.wikidata.org/entity/Q2885953,Barthélemy Baudrand,1701-09-18T00:00:00Z,68939365
http://www.wikidata.org/entity/Q2976799,Claude-Mathieu Olivier,1701-09-21T00:00:00Z,42222839
http://www.wikidata.org/entity/Q3164514,Jean-Baptiste Sauvé de La Noue,1701-10-20T00:00:00Z,59440806
http://www.wikidata.org/entity/Q2853493,Antoine-Joseph Garrigues,1702-01-01T00:00:00Z,63995495
http://www.wikidata.org/entity/Q3026884,Didier-François d'Arclais de Montamy,1702-01-01T00:00:00Z,17303185
http://www.wikidata.org/entity/Q76872893,Clémence Bailleul,1702-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q95191672,Lory de Narp,1702-01-01T00:00:00Z,179147266595435480543
http://www.wikidata.org/entity/Q95191672,Lory de Narp,1702-01-01T00:00:00Z,168152636169620052452
http://www.wikidata.org/entity/Q106477222,Madame d'Antraigues,1702-01-01T00:00:00Z,35559137
http://www.wikidata.org/entity/Q106370751,Madame Duplessy,1702-01-01T00:00:00Z,1462159233925903370050
http://www.wikidata.org/entity/Q109482344,Mlle Vauvilliers,1702-01-01T00:00:00Z,5279103
http://www.wikidata.org/entity/Q109482344,Mlle Vauvilliers,1702-01-01T00:00:00Z,309677479
http://www.wikidata.org/entity/Q134921681,Denise Lebrun,1702-01-01T00:00:00Z,1174693449526741183
http://www.wikidata.org/entity/Q134921681,Denise Lebrun,1702-01-01T00:00:00Z,309630005
http://www.wikidata.org/entity/Q135759987,madame d’Heuzé,1702-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q136105295,Mlle d’Alès de Corbet,1702-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q136197716,Angélique Caze de La Bove,1702-01-01T00:00:00Z,90728664
http://www.wikidata.org/entity/Q136306796,Madame Tardieu de Nesle,1702-01-01T00:00:00Z,41830659
http://www.wikidata.org/entity/Q136769705,Mme G. Houdin,1702-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q2885943,Barthélemy-Christophe Fagan,1702-03-31T00:00:00Z,76350365
http://www.wikidata.org/entity/Q2850783,Anne Gabriel Meusnier de Querlon,1702-04-15T00:00:00Z,27068720
http://www.wikidata.org/entity/Q3172832,Jean Joseph de Gérin,1702-07-03T00:00:00Z,1275152865643804940000
http://www.wikidata.org/entity/Q88044880,François Morénas,1702-11-07T00:00:00Z,75876396
http://www.wikidata.org/entity/Q3290779,Marguerite de Lubert,1702-12-17T00:00:00Z,95248737
http://www.wikidata.org/entity/Q2881358,Ballot de Sauvot,1703-01-01T00:00:00Z,4096711
http://www.wikidata.org/entity/Q15967285,André-Joseph Panckoucke,1703-01-31T00:00:00Z,39429952
http://www.wikidata.org/entity/Q231674,Marie Leszczyńska,1703-06-23T00:00:00Z,148917739
http://www.wikidata.org/entity/Q902573,Guillaume-François Rouelle,1703-09-15T00:00:00Z,12318293
