query (1),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
person,personLabel,birthYear,birthPlaceLabel,coords,occupations
http://www.wikidata.org/entity/Q3526417,Théodore Désorgues,1764,Aix-en-Provence,Point(5.445555555 43.527777777),poète ou poétesse
http://www.wikidata.org/entity/Q18955941,Raphaël de Monachis,1759,Le Caire,Point(31.235833333 30.044444444),écrivain ou écrivaine
http://www.wikidata.org/entity/Q122660529,Jean-François Dubroca,1753,Saint-Sever,Point(-0.574166666 43.756666666),écrivain ou écrivaine
http://www.wikidata.org/entity/Q2847041,André-François Miot de Mélito,1762,Versailles,Point(2.135 48.805),diariste
http://www.wikidata.org/entity/Q3171157,Jean Castaing,1723,Paris,Point(2.352222222 48.856666666),"dramaturge, poète ou poétesse"
http://www.wikidata.org/entity/Q3093560,Gabriel-Louis Pérau,1700,Duché de Bourgogne,Point(5.041111111 47.321944444),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3261586,Louis Coquelet,1676,Péronne,Point(2.9325 49.929166666),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3260508,Louis-François Ribié,1758,Paris,Point(2.352222222 48.856666666),dramaturge
http://www.wikidata.org/entity/Q2958086,Charles-Gaspard de Toustain de Richebourg,1746,Pithiviers-le-Vieil,Point(2.209166666 48.1625),écrivain ou écrivaine
http://www.wikidata.org/entity/Q273009,Charlotte-Sophie d'Oldenbourg,1715,Varel,Point(8.136111111 53.396944444),épistolière
http://www.wikidata.org/entity/Q2263877,Alexandre Hangerli,1759,Constantinople,Point(28.98 41.0125),écrivain ou écrivaine
http://www.wikidata.org/entity/Q2263877,Alexandre Hangerli,1768,Constantinople,Point(28.98 41.0125),écrivain ou écrivaine
http://www.wikidata.org/entity/Q2871136,Auguste Creuzé de Lesser,1771,Paris,Point(2.352222222 48.856666666),"librettiste, dramaturge, poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q94977387,Pierre Théodore Bienaimé,1765,Amiens,Point(2.297777777 49.891944444),écrivain ou écrivaine
http://www.wikidata.org/entity/Q15061385,Grigori Ivanovitch Tchernichev,1762,Saint-Pétersbourg,Point(30.316666666 59.95),écrivain ou écrivaine
http://www.wikidata.org/entity/Q11715326,Jacek Idzi Przybylski,1756,Cracovie,Point(19.937222222 50.061388888),"poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q7252993,Prudent Maran,1683,Sézanne,Point(3.722777777 48.718888888),écrivain ou écrivaine
http://www.wikidata.org/entity/Q56007090,Jacques Nicolas Brunot,1763,Clichy,Point(2.305555555 48.903611111),écrivain ou écrivaine
http://www.wikidata.org/entity/Q2825236,Adrien Pasquier,1744,Rouen,Point(1.1025 49.443055555),biographe
http://www.wikidata.org/entity/Q3119873,Guillaume Grivel,1735,Uzerche,Point(1.563333333 45.424722222),écrivain ou écrivaine
http://www.wikidata.org/entity/Q2848135,André Lefèvre,1718,Troyes,Point(4.078055555 48.298888888),"poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q3083283,François-Antoine Devaux,1712,Lunéville,Point(6.501666666 48.589444444),"dramaturge, poète ou poétesse"
http://www.wikidata.org/entity/Q2977427,Claude Fyot de Mimeure,1763,Dijon,Point(5.041944444 47.323055555),écrivain ou écrivaine
http://www.wikidata.org/entity/Q2854136,Antoine Le Bailly,1756,Caen,Point(-0.363611111 49.181388888),"librettiste, fabuliste"
http://www.wikidata.org/entity/Q15967276,Philippe Joseph Malbrancq,1750,Chocques,Point(2.573055555 50.541944444),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3164519,Jean-Baptiste de Milcent,1747,Paris,Point(2.352222222 48.856666666),"librettiste, dramaturge"
http://www.wikidata.org/entity/Q733161,Claude-Prosper Jolyot de Crébillon,1707,Paris,Point(2.352222222 48.856666666),"chansonnier, écrivain ou écrivaine, romancier ou romancière"
http://www.wikidata.org/entity/Q21993508,Jean-Marie le Lay,1749,Locquirec,Point(-3.648333333 48.690833333),écrivain ou écrivaine
http://www.wikidata.org/entity/Q443256,Justine Favart,1727,Avignon,Point(4.808333333 43.948611111),"dramaturge, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q94833849,François Claude André Le Roy de Lozembrune,1749,Montreuil-sur-Mer,Point(1.763333333 50.463611111),écrivain ou écrivaine
http://www.wikidata.org/entity/Q43764056,Ignace Hugary de La Marche,1728,Paris,Point(2.352222222 48.856666666),écrivain ou écrivaine
http://www.wikidata.org/entity/Q107439020,Joseph Grillet-Desprades,1733,Limoges,Point(1.261666666 45.834444444),poète ou poétesse
http://www.wikidata.org/entity/Q11812,Thomas Jefferson,1743,Shadwell,Point(-78.3956 38.0131),écrivain ou écrivaine
http://www.wikidata.org/entity/Q278505,Bertrand Clauzel,1772,Mirepoix,Point(1.873611111 43.088611111),écrivain ou écrivaine
http://www.wikidata.org/entity/Q714694,Jean-François Delacroix,1753,Pont-Audemer,Point(0.513888888 49.354166666),biographe
http://www.wikidata.org/entity/Q51857205,Jean-Philippe Dutoit-Membrini,1721,Moudon,Point(6.79743 46.66871),écrivain ou écrivaine
http://www.wikidata.org/entity/Q977001,Léonard Duphot,1769,Lyon,Point(4.835 45.7675),"poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q2834675,Alexis Vincent Charles Berbiguier de Terre-Neuve du Thym,1750,Carpentras,Point(5.048055555 44.055),écrivain ou écrivaine
http://www.wikidata.org/entity/Q2958369,Charles Albert de Moré de Pontgibaud,1758,Clermont-Ferrand,Point(3.086944444 45.779722222),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3263339,Louis d'Aignan du Sendat,1681,Auch,Point(0.588611111 43.645277777),écrivain ou écrivaine
http://www.wikidata.org/entity/Q5932430,Joaquín Traggia,1748,Saragosse,Point(-0.883333333 41.65),écrivain ou écrivaine
http://www.wikidata.org/entity/Q715027,Charles d'Éon de Beaumont,1728,Tonnerre,Point(3.973333333 47.855277777),écrivain ou écrivaine
http://www.wikidata.org/entity/Q271278,Jeanne de Valois-Saint-Rémy,1756,Fontette,Point(4.609166666 48.081111111),mémorialiste
http://www.wikidata.org/entity/Q3083281,François-Antoine Chevrier,1721,Nancy,Point(6.183611111 48.692777777),dramaturge
