occupation_id,occupation_label,occupation_wikidata_url,granular_bucket,bucket_family,bucket_method,manual_review_status,is_writerly_seen,is_nonwriter_seen,all_cohorts_entity_count,all_cohorts_assignment_count,notes,french_seed_entity_count,french_seed_assignment_count,global_writers_entity_count,global_writers_assignment_count
Q2073803,national revival activist,https://www.wikidata.org/wiki/Q2073803,Social Reform / Activism,Social and cultural mediation,label_rule:national revival activist,suggested,False,True,3,5,,2,2,3,3
Q2556132,négociant ou négociante en vin,https://www.wikidata.org/wiki/Q2556132,Economics / Commerce,Institutional power,label_rule:negociant,suggested,False,True,3,4,,1,1,3,3
Q38239859,officier d'armée de terre,https://www.wikidata.org/wiki/Q38239859,Military,Institutional power,label_rule:officier,suggested,False,True,3,4,,1,1,3,3
Q12013238,ophtalmologue,https://www.wikidata.org/wiki/Q12013238,Medicine / Health,Scientific knowledge,label_rule:ophtalmologue,suggested,False,True,3,3,,0,0,3,3
Q838811,paysan ou paysanne,https://www.wikidata.org/wiki/Q838811,Craft / Trade / Industry,Material production,label_rule:paysan,suggested,False,True,3,3,,0,0,3,3
Q10547393,personnalité politique locale,https://www.wikidata.org/wiki/Q10547393,Politics / Statecraft / Diplomacy,Institutional power,label_rule:personnalite politique,suggested,False,True,3,3,,0,0,3,3
Q2114605,pharmacologue,https://www.wikidata.org/wiki/Q2114605,Medicine / Health,Scientific knowledge,label_rule:pharmacologue,suggested,False,True,3,3,,0,0,3,3
Q18930007,philosophe politique,https://www.wikidata.org/wiki/Q18930007,Philosophy,Intellectual systems,label_rule:philosophe,suggested,False,True,3,4,,1,1,3,3
Q1759246,producteur ou productrice de théâtre,https://www.wikidata.org/wiki/Q1759246,Music / Performance / Theatre,Arts and performance,label_rule:producteur ou productrice de theatre,suggested,False,True,3,3,,0,0,3,3
Q15977927,professeur d'art,https://www.wikidata.org/wiki/Q15977927,Education / Scholarship / Humanities,Intellectual systems,label_rule:professeur,suggested,False,True,3,5,,2,2,3,3
Q30002353,professeur de langues,https://www.wikidata.org/wiki/Q30002353,Education / Scholarship / Humanities,Intellectual systems,label_rule:professeur,suggested,False,True,3,4,,1,1,3,3
