language_edition,occupation,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
dawiki,compositeur,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,compositeur ou compositrice de musique classique,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,conservateur de bibliothèque,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,conservateur-restaurateur ou conservatrice-restauratrice,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,consort,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,corsaire,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,courtier maritime,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,criminaliste,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,criminologue,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,critique dramatique,1,5,568,14377,0.03,0.18,20.0,6.0
dawiki,cryptographe,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,dame de compagnie,1,23,568,14377,0.16,0.18,4.35,1.125
dawiki,designer ou designeuse,1,5,568,14377,0.03,0.18,20.0,6.0
dawiki,dessinateur industriel ou dessinatrice industrielle,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,dessinateur ou dessinatrice en bâtiment,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,diacre,1,14,568,14377,0.1,0.18,7.14,1.8
dawiki,diacre de transition,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,diététicien ou diététicienne,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,drapier,1,5,568,14377,0.03,0.18,20.0,6.0
dawiki,duelliste,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,décorateur ou décoratrice d'intérieur,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,défenseur ou défenseuse des droits humains,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,démographe,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,détective,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,education activist,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,employé ou employée de bureau,1,3,568,14377,0.02,0.18,33.33,9.0
dawiki,enseignant ou enseignante du secondaire,1,46,568,14377,0.32,0.18,2.17,0.5625
dawiki,espion ou espionne,1,11,568,14377,0.08,0.18,9.09,2.25
dawiki,explorateur scientifique,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,fabricant d'instruments,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,fabuliste,1,24,568,14377,0.17,0.18,4.17,1.0588
dawiki,faussaire,1,4,568,14377,0.03,0.18,25.0,6.0
dawiki,financier,1,5,568,14377,0.03,0.18,20.0,6.0
dawiki,flûtiste,1,3,568,14377,0.02,0.18,33.33,9.0
dawiki,folkloriste,1,5,568,14377,0.03,0.18,20.0,6.0
dawiki,forestier ou forestière,1,5,568,14377,0.03,0.18,20.0,6.0
dawiki,gouache painter,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,gouvernante,1,6,568,14377,0.04,0.18,16.67,4.5
dawiki,grammairien,1,22,568,14377,0.15,0.18,4.55,1.2
dawiki,graveur sur cuivre,1,24,568,14377,0.17,0.18,4.17,1.0588
dawiki,herpétologue,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,historien ou historienne de l'Église,1,23,568,14377,0.16,0.18,4.35,1.125
dawiki,historien ou historienne de l'économie,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,historien ou historienne de la philosophie,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,historien ou historienne des mathématiques,1,12,568,14377,0.08,0.18,8.33,2.25
dawiki,historien ou historienne des sciences,1,4,568,14377,0.03,0.18,25.0,6.0
dawiki,homme ou femme de lettres,1,77,568,14377,0.54,0.18,1.3,0.3333
dawiki,horloger ou horlogère,1,3,568,14377,0.02,0.18,33.33,9.0
dawiki,hydrographe,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,imprimeur-libraire ou imprimeuse-libraire,1,31,568,14377,0.22,0.18,3.23,0.8182
dawiki,indianiste,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,industriel ou industrielle,1,6,568,14377,0.04,0.18,16.67,4.5
dawiki,ingénieur militaire,1,11,568,14377,0.08,0.18,9.09,2.25
dawiki,intellectuel ou intellectuelle,1,5,568,14377,0.03,0.18,20.0,6.0
dawiki,investisseur,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,joueur ou joueuse d'échecs,1,7,568,14377,0.05,0.18,14.29,3.6
dawiki,juge de paix,1,4,568,14377,0.03,0.18,25.0,6.0
dawiki,logicien ou logicienne,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,magistrat ou magistrate,1,32,568,14377,0.22,0.18,3.12,0.8182
dawiki,magistrate,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,marchand d'armes,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,maréchal,1,4,568,14377,0.03,0.18,25.0,6.0
dawiki,mathématicien géomètre,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,maître d'école,1,15,568,14377,0.1,0.18,6.67,1.8
dawiki,maître de poste,1,4,568,14377,0.03,0.18,25.0,6.0
dawiki,metteur ou metteuse en scène,1,11,568,14377,0.08,0.18,9.09,2.25
dawiki,militant ou militante de la cause animale,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,mosaïste,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,mystique,1,11,568,14377,0.08,0.18,9.09,2.25
dawiki,médecin de santé publique,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,médecin militaire,1,6,568,14377,0.04,0.18,16.67,4.5
dawiki,métaphysicien,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,narrateur,1,8,568,14377,0.06,0.18,12.5,3.0
dawiki,navigateur ou navigatrice,1,3,568,14377,0.02,0.18,33.33,9.0
dawiki,notaire,1,19,568,14377,0.13,0.18,5.26,1.3846
dawiki,nouvelle,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,océanographe,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,officier d'armée de terre,1,3,568,14377,0.02,0.18,33.33,9.0
dawiki,orateur ou oratrice,1,16,568,14377,0.11,0.18,6.25,1.6364
dawiki,organiste,1,27,568,14377,0.19,0.18,3.7,0.9474
dawiki,ornament designer,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,ornamental sculptor,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,page,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,pasteur méthodiste,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,paysagiste,1,6,568,14377,0.04,0.18,16.67,4.5
dawiki,pedestrian,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,philosophe des sciences,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,philosophe du langage,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,physicien théoricien ou physicienne théoricienne,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,pianiste,1,4,568,14377,0.03,0.18,25.0,6.0
dawiki,planteur,1,4,568,14377,0.03,0.18,25.0,6.0
dawiki,popular educator,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,portraitiste,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,producteur ou productrice de théâtre,1,3,568,14377,0.02,0.18,33.33,9.0
dawiki,propriétaire de biens,1,3,568,14377,0.02,0.18,33.33,9.0
dawiki,propriétaire de plantation,1,12,568,14377,0.08,0.18,8.33,2.25
dawiki,psychologue,1,7,568,14377,0.05,0.18,14.29,3.6
dawiki,religieux ou religieuse,1,42,568,14377,0.29,0.18,2.38,0.6207
dawiki,roi,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,romaniste,1,21,568,14377,0.15,0.18,4.76,1.2
dawiki,rådmand,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,sanskritiste,1,3,568,14377,0.02,0.18,33.33,9.0
dawiki,satiriste,1,20,568,14377,0.14,0.18,5.0,1.2857
dawiki,seigneur,1,9,568,14377,0.06,0.18,11.11,3.0
dawiki,socialiste,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,soldat,1,42,568,14377,0.29,0.18,2.38,0.6207
dawiki,spécialiste de la littérature,1,17,568,14377,0.12,0.18,5.88,1.5
dawiki,suffragiste,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,sylviculteur ou sylvicultrice,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,tailleur ou tailleuse de pierre,1,4,568,14377,0.03,0.18,25.0,6.0
dawiki,taxinomiste,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,traducteur ou traductrice de la Bible,1,12,568,14377,0.08,0.18,8.33,2.25
dawiki,traducteur ou traductrice littéraire,1,13,568,14377,0.09,0.18,7.69,2.0
dawiki,typographe,1,5,568,14377,0.03,0.18,20.0,6.0
dawiki,universitaire,1,13,568,14377,0.09,0.18,7.69,2.0
dawiki,urbaniste,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,volcanologue,1,2,568,14377,0.01,0.18,50.0,18.0
dawiki,xylographe,1,3,568,14377,0.02,0.18,33.33,9.0
dawiki,écrivain ou écrivaine politique,1,9,568,14377,0.06,0.18,11.11,3.0
dawiki,éditeur associé,1,27,568,14377,0.19,0.18,3.7,0.9474
dawiki,épistémologue,1,1,568,14377,0.01,0.18,100.0,18.0
dawiki,érudit,1,46,568,14377,0.32,0.18,2.17,0.5625
dawiki,Akyn,0,2,568,14377,0.01,0.0,0.0,0.0
dawiki,Busshi,0,1,568,14377,0.01,0.0,0.0,0.0
dawiki,Cartographic theorist,0,1,568,14377,0.01,0.0,0.0,0.0
dawiki,Chamber councilor,0,1,568,14377,0.01,0.0,0.0,0.0
dawiki,Cheikh al-Islam,0,1,568,14377,0.01,0.0,0.0,0.0
dawiki,Church Slavonic writers,0,1,568,14377,0.01,0.0,0.0,0.0
dawiki,Compagnie de Jésus,0,1,568,14377,0.01,0.0,0.0,0.0
dawiki,Conseil d'État,0,1,568,14377,0.01,0.0,0.0,0.0
