wikidata_id,person_id,name,birth_year_values,birth_place_values,birth_scope_category,birth_place_labels
http://www.wikidata.org/entity/Q18945032,Q18945032,Antonio Brognoli,1723,,europe,Brescia
http://www.wikidata.org/entity/Q3619364,Q3619364,Antonio Capece Minutolo,1768,,europe,Naples
http://www.wikidata.org/entity/Q3619401,Q3619401,Antonio Celestino Cocchi,1685,,europe,Fumone
http://www.wikidata.org/entity/Q3619403,Q3619403,Antonio Cerati,1738,,europe,Vienne
http://www.wikidata.org/entity/Q3619438,Q3619438,Antonio Cocchi,1695,,europe,Bénévent
http://www.wikidata.org/entity/Q88871693,Q88871693,Antonio Cristoforo Collalto Mattiuzzi,1713,,europe,Vicence
http://www.wikidata.org/entity/Q21207758,Q21207758,Antonio De Gennaro,1717,,europe,Naples
http://www.wikidata.org/entity/Q55227274,Q55227274,Antonio Evangeli,1741,,europe,Cividale del Friuli
http://www.wikidata.org/entity/Q3619606,Q3619606,Antonio Frizzi,1736,,europe,Ferrare
http://www.wikidata.org/entity/Q112161409,Q112161409,Antonio Garcés,1701,,europe,Alagón
http://www.wikidata.org/entity/Q3619722,Q3619722,Antonio Jerocades,1738,,europe,Parghelia
http://www.wikidata.org/entity/Q3619733,Q3619733,Antonio Landi,1725,,europe,Livourne
http://www.wikidata.org/entity/Q94506252,Q94506252,Antonio Lavagnoli,1718,,europe,Padoue
http://www.wikidata.org/entity/Q94990741,Q94990741,Antonio Liruti,1773,,europe,Udine
http://www.wikidata.org/entity/Q55228440,Q55228440,Antonio Maria Grandi,1761,,europe,Vicence
http://www.wikidata.org/entity/Q93253429,Q93253429,Antonio Maria Tannoia,1727,,europe,Corato
http://www.wikidata.org/entity/Q3619998,Q3619998,Antonio Palomba,1705,,europe,Naples
http://www.wikidata.org/entity/Q3620090,Q3620090,Antonio Ricciardi,1700,,europe,Loano
http://www.wikidata.org/entity/Q2857452,Q2857452,Antonio Scoppa,1763,,europe,Messine | San Filippo del Mela | Santa Lucia del Mela
http://www.wikidata.org/entity/Q105878176,Q105878176,Antonio Silla,1737,,europe,Scanno
http://www.wikidata.org/entity/Q605793,Q605793,Antonio Zaniboni,1697,,europe,Bologne
http://www.wikidata.org/entity/Q18123868,Q18123868,Antonios Catiforos,1685,,europe,Zante
http://www.wikidata.org/entity/Q95556366,Q95556366,Antonius Kaliwoda,1716,,europe,Soběslav
http://www.wikidata.org/entity/Q55195762,Q55195762,Antonius Mickwitz,1738,,europe,Tallinn
http://www.wikidata.org/entity/Q112538745,Q112538745,Antonius Saletka,1689,,europe,Olomouc
http://www.wikidata.org/entity/Q95096917,Q95096917,Antonius Sindt,1704,,europe,Brno
http://www.wikidata.org/entity/Q10853780,Q10853780,Antonín Borový,1755,,europe,Sedlec | Sedlice
