wikidata_id,person_id,name,candidate_affiliation_count,best_candidate_affiliation,top_candidate_affiliations,top_supporting_evidence_count,second_supporting_evidence_count,top_candidate_tie_count,available_mapped_evidence_count,total_evidence_fields,top_score_over_total_fields,top_score_over_available_fields,score_formula,available_score_formula
http://www.wikidata.org/entity/Q6779618,Q6779618,Mary Gartside,1,British,British,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q6779764,Q6779764,Mary Hemings,2,Anglophone,Anglophone,3,1,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q6779773,Q6779773,Mary Hervey,1,British,British,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q6779954,Q6779954,Mary Jones,1,British,British,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q6780027,Q6780027,Mary Morris Knowles,2,,Anglophone | British,1,0,2,2,8,0.125,0.5,1 / 8,1 / 2
http://www.wikidata.org/entity/Q6780062,Q6780062,Mary Leadbeater,1,British,British,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q6780258,Q6780258,Mary Martha Sherwood,2,,Anglophone | British,3,0,2,6,8,0.375,0.5,3 / 8,3 / 6
http://www.wikidata.org/entity/Q6780359,Q6780359,Mary Monck,1,British,British,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q6780365,Q6780365,Mary Moody Emerson,1,Anglophone,Anglophone,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q6780382,Q6780382,Mary Morison,1,British,British,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q6780464,Q6780464,Mary Ormond,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q6780516,Q6780516,Mary Pilkington,1,Anglophone,Anglophone,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q6780689,Q6780689,Mary Scott,1,British,British,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q6780766,Q6780766,Mary Steele,1,British,British,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q6780777,Q6780777,Mary Stockdale,1,British,British,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q6780950,Q6780950,Mary Whateley,1,British,British,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q67812899,Q67812899,Angus M'Diarmid,2,Anglophone,Anglophone,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q6783388,Q6783388,Joseph ha-Efrati,1,Hebrew,Hebrew,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q67849081,Q67849081,Joaquín Ibáñez de Jesús y María,1,Spanish,Spanish,5,0,1,5,8,0.625,1.0,5 / 8,5 / 5
http://www.wikidata.org/entity/Q6786929,Q6786929,Mather Byles,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q6787119,Q6787119,Mathias James O'Conway,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q67892516,Q67892516,Q67892516,2,,British | South Asian,2,0,2,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q67901392,Q67901392,Jean-Louis de Leissègues de Rozaven,2,France,France,2,1,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q6790326,Q6790326,Matthew Concanen,1,British,British,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q6790593,Q6790593,Matthew Green,1,Anglophone,Anglophone,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q6790595,Q6790595,Matthew Gregson,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q6791632,Q6791632,Matthias von Schoenberg,1,German,German,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q67933018,Q67933018,Lüyuan Li,1,China,China,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q6797230,Q6797230,Q6797230,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q67993174,Q67993174,Sarah Cassan,1,British,British,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q6809541,Q6809541,Mehmed Esad Yesari,3,Ottoman,Ottoman,5,1,1,5,8,0.625,1.0,5 / 8,5 / 5
http://www.wikidata.org/entity/Q68112701,Q68112701,Maria Elizabeth Robinson,2,,Anglophone | British,2,0,2,4,8,0.25,0.5,2 / 8,2 / 4
http://www.wikidata.org/entity/Q6811387,Q6811387,Mélanie de Salignac,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q68115078,Q68115078,Eliza Sotheby,2,British,British,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q6812196,Q6812196,Melesina Trench,2,British,British,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q6815284,Q6815284,Sher Ali Afsos,2,,British | South Asian,2,0,2,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q6815324,Q6815324,Q6815324,1,South Asian,South Asian,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q68185147,Q68185147,Josep Antoni Arnautó,1,Spanish,Spanish,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q6818735,Q6818735,Mercy Harbison,1,Anglophone,Anglophone,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q68200583,Q68200583,Q68200583,1,Russian,Russian,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q68202,Q68202,Christoph von Schmid,2,German,German,4,2,1,5,8,0.5,0.8,4 / 8,4 / 5
http://www.wikidata.org/entity/Q68209,Q68209,Johann Georg Jacobi,2,,German | Germany,3,0,2,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q6829882,Q6829882,Michael Dodson,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q68316,Q68316,Friederike Caroline Neuber,2,,German | Germany,2,0,2,4,8,0.25,0.5,2 / 8,2 / 4
http://www.wikidata.org/entity/Q6832322,Q6832322,Michael Lort,1,British,British,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q6832575,Q6832575,Michael Massey Robinson,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q683268,Q683268,Thomas John Dibdin,2,British,British,3,2,1,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q68334,Q68334,Friedrich August von Stägemann,2,Germany,Germany,3,2,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q6836001,Q6836001,Michał Dymitr Krajewski,1,Polish,Polish,5,0,1,5,8,0.625,1.0,5 / 8,5 / 5
http://www.wikidata.org/entity/Q683660,Q683660,Johann Gaudenz von Salis-Seewis,4,Swiss,Swiss,4,2,1,6,8,0.5,0.6667,4 / 8,4 / 6
http://www.wikidata.org/entity/Q6836624,Q6836624,Michael de la Roche,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q6837347,Q6837347,Micheál Mac Suibhne,1,British,British,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q68381,Q68381,Dietrich Tiedemann,2,Germany,Germany,4,2,1,5,8,0.5,0.8,4 / 8,4 / 5
http://www.wikidata.org/entity/Q6844838,Q6844838,Miguel Venegas,1,Spanish,Spanish,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q6852996,Q6852996,Liu Yiming,1,China,China,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q6854774,Q6854774,Yi Bingshou,1,China,China,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q6855764,Q6855764,Yu Minzhong,1,China,China,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q68578542,Q68578542,Elizabeth Yorke,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q685919,Q685919,László Amade,2,,Hungarian | Slovak,2,0,2,4,8,0.25,0.5,2 / 8,2 / 4
http://www.wikidata.org/entity/Q685993,Q685993,Antal Amadé,1,Hungarian,Hungarian,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q686024,Q686024,József Ficzkó,2,Slovene,Slovene,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q68710,Q68710,Heinrich Eberhard Gottlob Paulus,2,German,German,4,3,1,5,8,0.5,0.8,4 / 8,4 / 5
http://www.wikidata.org/entity/Q6872020,Q6872020,Mir Ali Sir Thattvi,1,British,British,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q68744942,Q68744942,Q68744942,1,Russian,Russian,6,0,1,6,8,0.75,1.0,6 / 8,6 / 6
