wikidata_id,person_id,name,birth_year,slice_id,review_group,has_any_slice_evidence,has_citizenship_evidence,has_place_context_evidence,has_birth_place_context_evidence,citizenship_match_ids,citizenship_match_labels,place_context_match_ids,place_context_match_labels,birth_place_context_match_ids,birth_place_context_match_labels,matched_place_roles,legacy_french_seed_member
http://www.wikidata.org/entity/Q75563124,Q75563124,John Pratt Winter,1768,british,British,True,True,False,False,Q174193 | Q215530,Kingdom of Ireland | United Kingdom of Great Britain and Ireland,,,,,,False
http://www.wikidata.org/entity/Q18819526,Q18819526,John Prince-Smith,1774,british,British,True,True,False,False,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,,,,,,False
http://www.wikidata.org/entity/Q14945518,Q14945518,John Prinsep,1746,british,British,True,True,True,True,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q21,England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place | work_location,False
http://www.wikidata.org/entity/Q11816,Q11816,John Quincy Adams,1767,british,British,True,True,True,True,Q258532,British America,Q145 | Q161885 | Q179876 | Q179997,Kingdom of England | Kingdom of Great Britain | Thirteen Colonies | United Kingdom,Q145 | Q161885 | Q179876 | Q179997,Kingdom of England | Kingdom of Great Britain | Thirteen Colonies | United Kingdom,birth_place,True
http://www.wikidata.org/entity/Q18783761,Q18783761,John Ramsay of Ochtertyre,1736,british,British,True,True,False,False,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,,,,,,False
http://www.wikidata.org/entity/Q19845404,Q19845404,John Ranby,1743,british,British,True,True,False,False,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,,,,,,False
http://www.wikidata.org/entity/Q6254210,Q6254210,John Randolph,1749,british,British,True,True,True,True,Q161885,Kingdom of Great Britain,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | residence,False
http://www.wikidata.org/entity/Q42849658,Q42849658,John Rannie,1760,british,British,True,True,False,False,Q161885,Kingdom of Great Britain,,,,,,False
http://www.wikidata.org/entity/Q6254308,Q6254308,John Rawdon,1720,british,British,True,True,True,False,Q161885,Kingdom of Great Britain,Q174193 | Q215530 | Q27,Ireland | Kingdom of Ireland | United Kingdom of Great Britain and Ireland,,,death_place,False
http://www.wikidata.org/entity/Q20804749,Q20804749,John Richard,1720,british,British,True,False,True,True,,,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place,False
http://www.wikidata.org/entity/Q18535749,Q18535749,John Richard Jones,1765,british,British,True,True,True,True,Q174193,United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place,False
http://www.wikidata.org/entity/Q6254830,Q6254830,John Richardson,1741,british,British,True,True,True,True,Q161885,Kingdom of Great Britain,Q129286 | Q145 | Q161885 | Q174193 | Q2001966 | Q21 | Q8680,British Empire | British Raj | Company rule in India | England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q21,England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place,False
http://www.wikidata.org/entity/Q6254987,Q6254987,John Rippon,1751,british,British,True,True,True,True,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145,United Kingdom,Q145,United Kingdom,birth_place,False
http://www.wikidata.org/entity/Q18813249,Q18813249,John Roberts,1749,british,British,True,False,True,True,,,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place,False
http://www.wikidata.org/entity/Q28026597,Q28026597,John Roberts,1731,british,British,True,True,True,True,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | work_location,False
http://www.wikidata.org/entity/Q6255179,Q6255179,John Roberts,1775,british,British,True,True,True,True,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | work_location,False
http://www.wikidata.org/entity/Q18783795,Q18783795,John Robertson,1767,british,British,True,True,False,False,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,,,,,,False
http://www.wikidata.org/entity/Q2496381,Q2496381,John Robison,1739,british,British,True,True,True,True,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q22 | Q230791,Kingdom of Great Britain | Kingdom of Scotland | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q22,Kingdom of Great Britain | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place | work_location,False
http://www.wikidata.org/entity/Q6255868,Q6255868,John Roy Stewart,1700,british,British,True,True,True,True,Q161885,Kingdom of Great Britain,Q145 | Q161885 | Q174193 | Q22,Kingdom of Great Britain | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q22,Kingdom of Great Britain | Scotland | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place,False
http://www.wikidata.org/entity/Q16859070,Q16859070,John Ryland,1753,british,British,True,True,True,True,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145,United Kingdom,Q145,United Kingdom,birth_place,False
http://www.wikidata.org/entity/Q6256555,Q6256555,John Salusbury,1707,british,British,True,False,True,True,,,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place,False
