token_family,token_id,token_label,token_wikidata_url,occurrence_count,entity_count,example_names
spoken_written_language,Q9309,,https://www.wikidata.org/wiki/Q9309,24,24,Anna Williams | David Richards | Elis Roberts | Evan Evans | Griffith Williams | Iolo Morganwg | John Dyer | John Jenkin
spoken_written_language,Q9142,,https://www.wikidata.org/wiki/Q9142,23,23,Art Mac Cumhaigh | Brian Merriman | Cathal Buí Mac Giolla Ghunna | Charlotte Brooke | Donnchadh Ruadh Mac Conmara | Dáibhí de Barra | Eibhlín Dubh Ní Chonaill | Eoghan Rua Ó Súilleabháin
spoken_written_language,Q9043,,https://www.wikidata.org/wiki/Q9043,22,22,Birgitte Christine Huitfeldt | Christen Pram | Christian Braunmann Tullin | Christiane Koren | Cille Gad | Claus Fasting | Claus Frimann | Enevold de Falsen
citizenship,Q204920,,https://www.wikidata.org/wiki/Q204920,21,21,Albert Borguny i Castelló | Antoni Codorniu | Antoni Serra Serra | Antoni de Peguera i d'Aimeric | Baldiri Reixac i Carbó | Carles Ros | Francisco Pérez Bayer | Jeroni Alemany i Moragues
spoken_written_language,Q1617,,https://www.wikidata.org/wiki/Q1617,19,19,Azfari | Baba G Rehmat Ullah | Baksh Nasikh | Khwaja Haidar Ali Aatish | K̲h̲vājah Mīr Dard | Mah Laqa Bai | Meer Hasan | Mir Amman
writing_language,Q9142,,https://www.wikidata.org/wiki/Q9142,19,19,Art Mac Cumhaigh | Brian Merriman | Cathal Buí Mac Giolla Ghunna | Charlotte Brooke | Donnchadh Ruadh Mac Conmara | Dáibhí de Barra | Eibhlín Dubh Ní Chonaill | Eoghan Rua Ó Súilleabháin
citizenship,Q154195,,https://www.wikidata.org/wiki/Q154195,18,18,Adam Weishaupt | Aloys Senefelder | Charles-Théodore de Dalberg | Charlotte von Kalb | Christoph von Schmid | Franz Xaver von Zwack | Franz von Paula Schrank | Friedrich Heinrich Jacobi
spoken_written_language,Q9610,,https://www.wikidata.org/wiki/Q9610,18,18,Akinchan Das | Baneshwar Vidyalankar | Barajuram Das | Bharatchandra Ray | Chandi Charan Munshi | Gourangiya Singh | Heyat Mamud | Jaygopal Tarkalankar
citizenship,Q1028,,https://www.wikidata.org/wiki/Q1028,17,17,Abou El Kacem Zayani | Ahmad ibn Idris | Ahmed ibn al-Mubarak al-Lamati | Al-Bannani | David Hassine | Hamdun ibn al-Hajj al-Fasi | Hemmou Talb | Mohammed al-Harraq al-Alami
spoken_written_language,Q294,,https://www.wikidata.org/wiki/Q294,15,15,Arnór Jónsson | Bjarne Pálsson | Björg Einarsdóttir | Björn Halldórsson | Eggert Olafsen | Gunnar Pálsson | Halldór Jakobsson | Hallvarður Hallsson
citizenship,Q153015,,https://www.wikidata.org/wiki/Q153015,14,14,Carl Gottlob Kühn | Carl-Gottlob Cramer | Christian August Fischer | Christian Gottfried Körner | Elisa von der Recke | Friedrich Gottlob Leonhardi | Friedrich Gustav Schilling | Gotthelf August Fischer
citizenship,Q33296,,https://www.wikidata.org/wiki/Q33296,14,14,Arunachala Kavi | Azfari | Bahuda Dasa | Inšāʿ Allāh Ḫān Inšāʿ | Kotikalapudi Venkatakrishnaiah | Meer Hasan | Mir Taqi Mir | Muhammad Bahâdur Shâh
spoken_written_language,Q13248,,https://www.wikidata.org/wiki/Q13248,14,14,Adam Gottlob Schirach | Adam Zacharias Schirach | Bosćij Michał Wićaz | Christoph Friedrich Faber | Jan Józef Hawštyn Hauptmann | Johann Gotthold Böhmer | Johann Gotttrau Böhmer | Johann Hortzschansky
spoken_written_language,Q34271,,https://www.wikidata.org/wiki/Q34271,14,14,Gungthang Tenpe Drönme | Jigme Lingpa | Karma Trinle Dudjom | Katok Rigdzin Chenpo Tsewang Norbu | Kelzang Gyatso | Khamtrül Tendzin Chökyi Nyima | Lobsang Palden Yeshe | Lozang Chokyi Wangchuk
spoken_written_language,Q8108,,https://www.wikidata.org/wiki/Q8108,14,14,Besiki | David Cholokashvili | Davit Gouramichvili | Dimitri Bagrationi | Giorgi Tumanishvili | Goderdzi Piralishvili | Grigol Meskhishvili | Ioane Batonichvili
spoken_written_language,Q9199,,https://www.wikidata.org/wiki/Q9199,14,14,Hồ Xuân Hương | Lê Ngọc Hân | Lê Quý Đôn | Mạc Thiên Tứ | Nguyễn Du | Nguyễn Gia Thiều | Nguyễn Án | Phan Huy Ích
citizenship,Q189,,https://www.wikidata.org/wiki/Q189,13,13,Bjarne Pálsson | Björg Einarsdóttir | Eggert Olafsen | Gunnar Pálsson | Hallgrímur Eldjárnsson | Hálfdan Einarsson | Jón Steingrímsson | Magnús Ketilsson
citizenship,Q706018,,https://www.wikidata.org/wiki/Q706018,13,13,Adolph Knigge | Albrecht Daniel Thaer | August Wilhelm Iffland | Baron de Münchhausen | Basilius von Ramdohr | Christoph Schmidt-Phiseldeck | Ernst Brandes | Friedrich Ludwig Wilhelm Meyer
writing_language,Q9610,,https://www.wikidata.org/wiki/Q9610,13,13,Akinchan Chakrabarty | Akinchan Das | Bharatchandra Ray | Chandi Charan Munshi | Jaygopal Tarkalankar | Jaynarayan Ghoshal | Kamalakanta Bhattacharya | Mrityunjay Vidyalankar
native_language,Q9610,,https://www.wikidata.org/wiki/Q9610,12,12,Akinchan Das | Baneshwar Vidyalankar | Bharatchandra Ray | Chandi Charan Munshi | Jaygopal Tarkalankar | Jaynarayan Ghoshal | Lalon | Mrityunjay Vidyalankar
spoken_written_language,Q9292,,https://www.wikidata.org/wiki/Q9292,12,12,Ashig Valeh | Baba bey Shakir | Fath Ali Chah Qadjar | Khasta Qasim | Kochkhyur Said | Mirza Muslim Qudsi | Molla Penah Vakıf | Molla Veli Vidadi
citizenship,Q155570,,https://www.wikidata.org/wiki/Q155570,10,10,August von Kotzebue | Charlotte Henriette Hezel | Charlotte von Stein | Christian August Vulpius | Friedrich Gottlieb Dietrich | Friedrich Justin Bertuch | Johann Karl Fischer | Johann Wolfgang von Goethe
citizenship,Q18234383,,https://www.wikidata.org/wiki/Q18234383,10,10,Azar Bigdeli | Baba'i ben Lotf | Hajat Shirazi | Hakob Nagashi Hovnatanyan | Ihrek Rezheb | Magtymguly Pyragy | Molla Penah Vakıf | Nasha Tabrizi
spoken_written_language,Q11059,Sanskrit,https://www.wikidata.org/wiki/Q11059,10,10,Arunachala Kavi | Brajanath Badajena | Jagannath Tarka Panchanan | Jaygopal Tarkalankar | Jaynarayan Ghoshal | Kavikalanidhi Devarshi Shrikrishna Bhatt | Muddupalani | Râm Mohan Roy
citizenship,Q430309,,https://www.wikidata.org/wiki/Q430309,9,9,Lê Quý Đôn | Lê Quýnh | Nguyễn Du | Q10768976 | Q10799516 | Q10833825 | Q10833870 | Q126656545
spoken_written_language,Q9314,,https://www.wikidata.org/wiki/Q9314,9,9,Adam Ferguson | Alexander MacKinnon | Ewen Maclachlan | Hector Maclean | Iain MacCodrum | James Macpherson | Lachlan Macpherson | Rob Donn
citizenship,Q10800791,,https://www.wikidata.org/wiki/Q10800791,8,8,Bá Lân Nguyễn | Ho Si Dong | Nguyễn Án | Q10799818 | Q10800385 | Q10800392 | Q10800394 | Q10800396
citizenship,Q174306,,https://www.wikidata.org/wiki/Q174306,8,8,Antonio Nervi | Gian Carlo Di Negro | Giovanni Francesco Castagnola | Giuseppe Gregorio Solari | Marie-Christine de Rouvroy | Martino Piaggio | Matteo Franzoni | Steva De Franchi
citizenship,Q180393,,https://www.wikidata.org/wiki/Q180393,8,8,Agatino Sozzi | Alessandro Cedronio | Domenico Antonio di Fiore | Giovanni Battista Capasso | Giovanni Carlo Cosenza | Guilio Genoino | Ignazio Scimonelli | Salvatore Viganò
