language_edition,place_affiliation_category,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
svwiki,Serbian,0,12,1826,14377,0.08,0.0,0.0,0.0
ukwiki,mixed_or_ambiguous,237,2922,868,14377,20.32,27.3,8.11,1.3435
ukwiki,France,140,1457,868,14377,10.13,16.13,9.61,1.5923
ukwiki,British,112,1241,868,14377,8.63,12.9,9.02,1.4948
ukwiki,Russian,88,367,868,14377,2.55,10.14,23.98,3.9765
ukwiki,Germany,50,1280,868,14377,8.9,5.76,3.91,0.6472
ukwiki,no_mapped_place_affiliation,38,400,868,14377,2.78,4.38,9.5,1.5755
ukwiki,Anglophone,26,188,868,14377,1.31,3.0,13.83,2.2901
ukwiki,China,24,100,868,14377,0.7,2.76,24.0,3.9429
ukwiki,Swedish,22,209,868,14377,1.45,2.53,10.53,1.7448
ukwiki,Italian,21,550,868,14377,3.83,2.42,3.82,0.6319
ukwiki,no_place_context,21,3883,868,14377,27.01,2.42,0.54,0.0896
ukwiki,Polish,19,120,868,14377,0.83,2.19,15.83,2.6386
ukwiki,Spanish,13,428,868,14377,2.98,1.5,3.04,0.5034
ukwiki,Ottoman,9,222,868,14377,1.54,1.04,4.05,0.6753
ukwiki,Swiss,7,132,868,14377,0.92,0.81,5.3,0.8804
ukwiki,Ukrainian,7,8,868,14377,0.06,0.81,87.5,13.5
ukwiki,Slovak,6,73,868,14377,0.51,0.69,8.22,1.3529
ukwiki,South Asian,6,41,868,14377,0.29,0.69,14.63,2.3793
ukwiki,Danish,4,111,868,14377,0.77,0.46,3.6,0.5974
ukwiki,Austrian/Habsburg,3,9,868,14377,0.06,0.35,33.33,5.8333
ukwiki,Portuguese,3,72,868,14377,0.5,0.35,4.17,0.7
ukwiki,Czech,2,117,868,14377,0.81,0.23,1.71,0.284
ukwiki,Hungarian,2,108,868,14377,0.75,0.23,1.85,0.3067
ukwiki,Slovene,2,47,868,14377,0.33,0.23,4.26,0.697
ukwiki,Estonian,1,10,868,14377,0.07,0.12,10.0,1.7143
ukwiki,Greek,1,32,868,14377,0.22,0.12,3.12,0.5455
ukwiki,Lithuanian,1,4,868,14377,0.03,0.12,25.0,4.0
ukwiki,Ragusan/Dalmatian,1,3,868,14377,0.02,0.12,33.33,6.0
ukwiki,Romanian/Moldavian,1,2,868,14377,0.01,0.12,50.0,12.0
ukwiki,Serbian,1,12,868,14377,0.08,0.12,8.33,1.5
ukwiki,Czech/Slovak,0,3,868,14377,0.02,0.0,0.0,0.0
ukwiki,Dutch,0,159,868,14377,1.11,0.0,0.0,0.0
ukwiki,Egyptian,0,2,868,14377,0.01,0.0,0.0,0.0
ukwiki,German,0,20,868,14377,0.14,0.0,0.0,0.0
ukwiki,Haitian/Caribbean,0,4,868,14377,0.03,0.0,0.0,0.0
ukwiki,Low Countries,0,41,868,14377,0.29,0.0,0.0,0.0
