wikidata_id,name,candidate_affiliation,possible_place_role_count,mapped_place_role_count,checked_place_role_count,place_score_share,supporting_place_roles,supporting_places,support_token_ids,birth_place_support,death_place_support,residence_support,work_location_support
http://www.wikidata.org/entity/Q75385,Johann Heinrich Callenberg,Germany,2,2,2,1.0,birth_place | death_place,Halle-sur-Saale (Q2814) | Molschleben (Q552260),Q183 | Q27306 | Q41304 | Q43287,True,True,False,False
http://www.wikidata.org/entity/Q55123773,Johann Heinrich Christian Beutler,German,1,1,1,1.0,birth_place,Suhl (Q14891),Q12548,True,False,False,False
http://www.wikidata.org/entity/Q55123773,Johann Heinrich Christian Beutler,Germany,1,1,1,1.0,birth_place,Suhl (Q14891),Q183,True,False,False,False
http://www.wikidata.org/entity/Q94754052,Johann Heinrich Christoph Vogler,German,1,1,1,1.0,death_place,Potsdam (Q1711),Q55300 | Q7318,False,True,False,False
http://www.wikidata.org/entity/Q94754052,Johann Heinrich Christoph Vogler,Germany,1,1,1,1.0,death_place,Potsdam (Q1711),Q183 | Q27306 | Q41304 | Q43287,False,True,False,False
http://www.wikidata.org/entity/Q19959235,Johann Heinrich Dambeck,Austrian/Habsburg,3,3,3,1.0,birth_place | death_place | work_location,Brno (Q14960) | Prague (Q1085),Q131964,True,True,False,True
http://www.wikidata.org/entity/Q19959235,Johann Heinrich Dambeck,Czech,3,3,3,1.0,birth_place | death_place | work_location,Brno (Q14960) | Prague (Q1085),Q213 | Q42585,True,True,False,True
http://www.wikidata.org/entity/Q19959235,Johann Heinrich Dambeck,Czech/Slovak,3,3,3,1.0,birth_place | death_place | work_location,Brno (Q14960) | Prague (Q1085),Q1998866 | Q33946,True,True,False,True
http://www.wikidata.org/entity/Q19959235,Johann Heinrich Dambeck,German,3,3,2,0.6667,death_place | work_location,Prague (Q1085),Q12548,False,True,False,True
http://www.wikidata.org/entity/Q19959235,Johann Heinrich Dambeck,Germany,3,3,3,1.0,birth_place | death_place | work_location,Brno (Q14960) | Prague (Q1085),Q153136 | Q28513,True,True,False,True
http://www.wikidata.org/entity/Q66207,Johann Heinrich Daniel Zschokke,German,3,3,2,0.6667,birth_place | work_location,Francfort-sur-l'Oder (Q4024) | Magdebourg (Q1733),Q12548 | Q2415901 | Q55300 | Q7318,True,False,False,True
http://www.wikidata.org/entity/Q66207,Johann Heinrich Daniel Zschokke,Germany,3,3,2,0.6667,birth_place | work_location,Francfort-sur-l'Oder (Q4024) | Magdebourg (Q1733),Q1206012 | Q183 | Q27306 | Q41304 | Q43287,True,False,False,True
http://www.wikidata.org/entity/Q66207,Johann Heinrich Daniel Zschokke,Polish,3,3,1,0.3333,work_location,Francfort-sur-l'Oder (Q4024),Q36,False,False,False,True
http://www.wikidata.org/entity/Q66207,Johann Heinrich Daniel Zschokke,Swiss,3,3,2,0.6667,death_place | work_location,Aarau (Q14274),Q39,False,True,False,True
http://www.wikidata.org/entity/Q55887570,Johann Heinrich Ernst Nachersberg,Czech,1,1,1,1.0,birth_place,Głogów (Q66013),Q42585,True,False,False,False
http://www.wikidata.org/entity/Q55887570,Johann Heinrich Ernst Nachersberg,Germany,1,1,1,1.0,birth_place,Głogów (Q66013),Q1206012 | Q27306,True,False,False,False
http://www.wikidata.org/entity/Q55887570,Johann Heinrich Ernst Nachersberg,Polish,1,1,1,1.0,birth_place,Głogów (Q66013),Q36,True,False,False,False
http://www.wikidata.org/entity/Q94839946,Johann Heinrich Faber,France,2,2,2,1.0,birth_place | death_place,Mayence (Q1720) | Strasbourg (Q6602),Q142 | Q70972,True,True,False,False
http://www.wikidata.org/entity/Q94839946,Johann Heinrich Faber,German,2,2,2,1.0,birth_place | death_place,Mayence (Q1720) | Strasbourg (Q6602),Q12548 | Q20135 | Q706691 | Q7318,True,True,False,False
http://www.wikidata.org/entity/Q94839946,Johann Heinrich Faber,Germany,2,2,2,1.0,birth_place | death_place,Mayence (Q1720) | Strasbourg (Q6602),Q1206012 | Q183 | Q27306 | Q41304 | Q43287,True,True,False,False
http://www.wikidata.org/entity/Q94923557,Johann Heinrich Frambach,France,1,1,1,1.0,death_place,Cologne (Q365),Q71084,False,True,False,False
http://www.wikidata.org/entity/Q94923557,Johann Heinrich Frambach,German,1,1,1,1.0,death_place,Cologne (Q365),Q12548 | Q2415901 | Q7318,False,True,False,False
