slice_id,context_label,context_order,metric,metric_label,entity_count,denominator,pct,notes,aggregation_level,gender_category,granular_bucket,bucket_family
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,8,68,11.76,Entity has no article in the tracked language-edition matrix.,context_bucket,All genders,Travel / Geography / Exploration,Mobility and empire
france,France,0,top_affiliation_tie,Top affiliation tie,16,68,23.53,Entity has more than one top-ranked affiliation candidate.,context_bucket,All genders,Travel / Geography / Exploration,Mobility and empire
france,France,0,low_evidence_affiliation,Low-evidence affiliation,7,121,5.79,Top affiliation candidate is supported by zero or one mapped evidence field.,context_bucket,All genders,Unmapped / Review,Needs review
france,France,0,missing_country_of_citizenship,Missing citizenship,20,121,16.53,Entity has no Wikidata country-of-citizenship value.,context_bucket,All genders,Unmapped / Review,Needs review
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,121,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_bucket,All genders,Unmapped / Review,Needs review
france,France,0,no_place_context,No place context,3,121,2.48,Entity has no mapped birth/death/residence/work-location evidence.,context_bucket,All genders,Unmapped / Review,Needs review
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,28,121,23.14,Entity has no article in the tracked language-edition matrix.,context_bucket,All genders,Unmapped / Review,Needs review
france,France,0,top_affiliation_tie,Top affiliation tie,29,121,23.97,Entity has more than one top-ranked affiliation candidate.,context_bucket,All genders,Unmapped / Review,Needs review
france,France,0,low_evidence_affiliation,Low-evidence affiliation,7,156,4.49,Top affiliation candidate is supported by zero or one mapped evidence field.,context_bucket,All genders,Visual Arts / Architecture / Design,Arts and performance
france,France,0,missing_country_of_citizenship,Missing citizenship,18,156,11.54,Entity has no Wikidata country-of-citizenship value.,context_bucket,All genders,Visual Arts / Architecture / Design,Arts and performance
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,156,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_bucket,All genders,Visual Arts / Architecture / Design,Arts and performance
france,France,0,no_place_context,No place context,4,156,2.56,Entity has no mapped birth/death/residence/work-location evidence.,context_bucket,All genders,Visual Arts / Architecture / Design,Arts and performance
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,24,156,15.38,Entity has no article in the tracked language-edition matrix.,context_bucket,All genders,Visual Arts / Architecture / Design,Arts and performance
france,France,0,top_affiliation_tie,Top affiliation tie,27,156,17.31,Entity has more than one top-ranked affiliation candidate.,context_bucket,All genders,Visual Arts / Architecture / Design,Arts and performance
