wikidata_id,name,candidate_affiliation_count,best_candidate_affiliation,top_candidate_affiliations,top_checked_box_count,second_checked_box_count,top_score_share,top_candidate_tie_count,affiliation_review_status
http://www.wikidata.org/entity/Q107618833,Adrianus van Assendelft,1,Dutch,Dutch,2,0,1.0,1,tentative
http://www.wikidata.org/entity/Q2825164,Adrien Duquesnoy,2,,France | French,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,2,,France | French,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q2825236,Adrien Pasquier,2,,France | French,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q2825250,Adrien Quiret de Margency,2,French,French,2,1,0.6667,1,tentative
http://www.wikidata.org/entity/Q2825256,Adrien Richer,2,French,French,2,1,0.6667,1,tentative
http://www.wikidata.org/entity/Q55910728,Adrien Simon Boy,2,,France | French,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q2825302,Adrien de La Vieuville de Vignacourt,2,,France | French,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q377307,Adrien de Lezay-Marnésia,2,French,French,2,1,0.6667,1,tentative
http://www.wikidata.org/entity/Q18117862,Adrien de Sarrazin,2,French,French,2,1,0.6667,1,tentative
http://www.wikidata.org/entity/Q50819148,Adrien Égron,2,French,French,2,1,0.6667,1,tentative
http://www.wikidata.org/entity/Q2825098,Adrien-Joseph Le Valois d'Orville,2,,France | French,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q191021,Adrien-Marie Legendre,2,French,French,2,1,0.6667,1,tentative
http://www.wikidata.org/entity/Q2825103,Adrien-Michel-Hyacinthe Blin de Sainmore,2,,France | French,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q2825105,Adrien-Nicolas La Salle,2,French,French,2,1,0.6667,1,tentative
http://www.wikidata.org/entity/Q56452221,Adrienne-Madeleine Dusillet,2,,France | French,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q2825464,Adélaïde Gory-Decour,2,,France | French,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q589562,Adélaïde de Souza,2,French,French,3,1,0.75,1,strong
http://www.wikidata.org/entity/Q123786749,Adélaïde d’Espinassy,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q2825463,Adélaïde-Gillette Dufrénoy,2,French,French,2,1,0.6667,1,tentative
http://www.wikidata.org/entity/Q88290947,Adélaïde-Isabelle-Jeanne Vivien Deschampsy,2,French,French,3,1,0.75,1,strong
http://www.wikidata.org/entity/Q99767518,Adélaïde-Marie-Anne Moitte,2,,France | French,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q18533717,"Adélaïde-Paule-Françoise de La Fare, comtesse de La Boutetière de Saint-Mars",2,French,French,2,1,0.6667,1,tentative
http://www.wikidata.org/entity/Q94530562,Aegidius Hollósy,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q107619276,Aegidius van Hoven,1,Dutch,Dutch,2,0,1.0,1,tentative
