wikidata_id,name,place_evidence_role_count,mapped_place_role_count,place_candidate_affiliation_count,best_place_candidate_affiliation,top_place_candidate_affiliations,top_place_checked_role_count,second_place_checked_role_count,top_place_score_share,top_place_candidate_tie_count,place_affiliation_review_status
http://www.wikidata.org/entity/Q4229405,Evgraf Fedotovich Komarovsky,2,2,1,Russian,Russian,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q213747,Ewald Christian von Kleist,2,2,3,Polish,Polish,2,1,1.0,1,tentative_place
http://www.wikidata.org/entity/Q9256975,Ewaryst Andrzej Kuropatnicki,2,2,1,Polish,Polish,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q20619270,Ewen MacEachen,1,1,1,British,British,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q5418984,Ewen Maclachlan,1,1,1,British,British,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q5422915,Eyles Irwin,1,1,2,,British | South Asian,1,1,1.0,2,mixed_place_top_score
http://www.wikidata.org/entity/Q136359186,Eyyübzade Mehmed,2,2,1,Ottoman,Ottoman,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q60153995,Ezekiel Sullak,1,1,1,Slovene,Slovene,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q136121739,Eğinli Numan Efendi,1,1,1,Ottoman,Ottoman,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q136169321,Eşrefzade Ahmed Ziyaeddin,2,2,1,Ottoman,Ottoman,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q94757948,F. A. Nuth,1,0,0,,,0,0,,0,no_mapped_place_affiliation
http://www.wikidata.org/entity/Q4232674,F. I.  Korbelet︠s︡kiĭ,1,1,1,Russian,Russian,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q86969625,F. J. de Pons,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q94987034,F. Patriz Wasserburger,1,1,1,Czech,Czech,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q98119678,Fabian Sakowicz,1,0,0,,,0,0,,0,no_mapped_place_affiliation
http://www.wikidata.org/entity/Q18197730,Fabien Pillet,1,1,1,France,France,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q553446,Fabre d'Églantine,3,3,1,France,France,3,0,1.0,1,strong_place
http://www.wikidata.org/entity/Q18528976,Faith Gray,2,2,1,British,British,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q45692729,Fang Fangpei,1,1,1,China,China,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q3066474,Fanny Raoul,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q446559,Fanny de Beauharnais,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q18916746,Fanny von Ickstatt,2,2,2,Germany,Germany,2,1,1.0,1,tentative_place
http://www.wikidata.org/entity/Q123847379,Farad Faqir,1,1,1,British,British,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q3066920,Farin de Hautemer,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q252311,Farkas Bolyai,3,3,2,Germany,Germany,3,2,1.0,1,moderate_place
http://www.wikidata.org/entity/Q852977,Farkas Bánffy,2,2,2,,Austrian/Habsburg | Germany,2,2,1.0,2,mixed_place_top_score
http://www.wikidata.org/entity/Q871949,Farkas Cserey,2,2,3,,Austrian/Habsburg | German | Germany,2,2,1.0,3,mixed_place_top_score
http://www.wikidata.org/entity/Q23902948,Farkas Tóth,2,2,1,Hungarian,Hungarian,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q136198274,Fasih Ahmed Dede,2,2,1,Ottoman,Ottoman,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q12839747,Fatali bay Hali-Ganjavi,2,1,2,,Ottoman | Russian,1,1,0.5,2,mixed_place_top_score
http://www.wikidata.org/entity/Q175299,Fath Ali Chah Qadjar,2,0,0,,,0,0,,0,no_mapped_place_affiliation
http://www.wikidata.org/entity/Q5947694,Fath-Ali Khan Saba,1,0,0,,,0,0,,0,no_mapped_place_affiliation
http://www.wikidata.org/entity/Q3740311,Faustina Maratti,2,2,2,,France | Italian,2,2,1.0,2,mixed_place_top_score
http://www.wikidata.org/entity/Q11697723,Faustinas Cecerskis,2,2,2,,Lithuanian | Polish,1,1,0.5,2,mixed_place_top_score
http://www.wikidata.org/entity/Q54905271,Faustino Corsi,2,2,2,,France | Italian,2,2,1.0,2,mixed_place_top_score
http://www.wikidata.org/entity/Q461329,Fedele Tirrito,2,2,1,Italian,Italian,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q98960330,Federico Cavriani,2,2,4,,Austrian/Habsburg | France | Germany | Italian,2,2,1.0,4,mixed_place_top_score
http://www.wikidata.org/entity/Q122941036,Federigo Altan,2,2,1,Italian,Italian,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q4162786,Fedor Ivanovich Dmitriev-Mamonov,2,2,1,Russian,Russian,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q12124146,Fedor Petrovich Moiseenkov,2,2,2,Russian,Russian,2,1,1.0,1,tentative_place
http://www.wikidata.org/entity/Q4214977,Fedor Vasilevich Karzhavin,2,2,1,Russian,Russian,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q13135542,Feike Hiddes van der Ploeg,2,2,1,Dutch,Dutch,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q55226148,Feliciano Bussi,2,2,2,Italian,Italian,2,1,1.0,1,tentative_place
http://www.wikidata.org/entity/Q12788807,Feliks Dev,2,2,3,Slovene,Slovene,2,1,1.0,1,tentative_place
http://www.wikidata.org/entity/Q4335691,Feliks Oraczewski,2,2,4,,Austrian/Habsburg | German | Germany | Polish,1,1,0.5,4,mixed_place_top_score
